step,R0.7,R0.6
1148.0,0.74,0.71
1149.0,0.73,0.72
1150.0,0.74,0.72
1151.0,0.74,0.73
1152.0,0.73,0.72
1153.0,0.74,0.72
1154.0,0.74,0.71
1155.0,0.73,0.72
1156.0,0.73,0.72
1157.0,0.74,0.73
1158.0,0.74,0.71
1159.0,0.74,0.72
1160.0,0.73,0.72
1161.0,0.73,0.73
1162.0,0.74,0.72
1163.0,0.73,0.72
1164.0,0.73,0.72
1165.0,0.73,0.72
1166.0,0.74,0.71
1167.0,0.74,0.73
1168.0,0.73,0.71
1169.0,0.73,0.73
1170.0,0.74,0.72
1171.0,0.74,0.73
1172.0,0.73,0.72
1173.0,0.73,0.73
1174.0,0.74,0.71
1175.0,0.73,0.72
1176.0,0.74,0.71
1177.0,0.73,0.72
1178.0,0.73,0.71
1179.0,0.74,0.72
1180.0,0.74,0.71
1181.0,0.73,0.73
1182.0,0.74,0.71
1183.0,0.73,0.72
1184.0,0.73,0.71
1185.0,0.74,0.73
1186.0,0.74,0.72
1187.0,0.73,0.72
1188.0,0.74,0.71
1189.0,0.73,0.72
1190.0,0.73,0.71
1191.0,0.74,0.72
1192.0,0.74,0.72
1193.0,0.74,0.72
1194.0,0.74,0.72
1195.0,0.74,0.73
1196.0,0.73,0.71
1197.0,0.74,0.72
1198.0,0.74,0.72
1199.0,0.74,0.73
1200.0,0.74,0.72
1201.0,0.73,0.72
1202.0,0.73,0.72
1203.0,0.74,0.73
1204.0,0.74,0.71
1205.0,0.74,0.72
1206.0,0.73,0.72
1207.0,0.73,0.73
1208.0,0.74,0.71
1209.0,0.73,0.72
1210.0,0.73,0.72
1211.0,0.74,0.73
1212.0,0.73,0.71
1213.0,0.73,0.73
1214.0,0.74,0.71
1215.0,0.73,0.73
1216.0,0.74,0.71
1217.0,0.73,0.72
1218.0,0.73,0.72
1219.0,0.73,0.73
1220.0,0.74,0.72
1221.0,0.74,0.73
1222.0,0.73,0.72
1223.0,0.73,0.72
1224.0,0.73,0.71
1225.0,0.73,0.72
1226.0,0.73,0.71
1227.0,0.73,0.72
1228.0,0.74,0.71
1229.0,0.73,0.73
1230.0,0.74,0.72
1231.0,0.73,0.73
1232.0,0.74,0.71
1233.0,0.74,0.73
1234.0,0.74,0.71
1235.0,0.73,0.72
1236.0,0.73,0.72
1237.0,0.74,0.73
1238.0,0.73,0.72
1239.0,0.73,0.72
1240.0,0.74,0.72
1241.0,0.74,0.72
1242.0,0.74,0.72
1243.0,0.73,0.72
1244.0,0.73,0.72
1245.0,0.74,0.73
1246.0,0.74,0.71
1247.0,0.73,0.72
1248.0,0.74,0.72
1249.0,0.73,0.73
1250.0,0.74,0.72
1251.0,0.73,0.73
1252.0,0.74,0.72
1253.0,0.74,0.72
1254.0,0.73,0.71
1255.0,0.73,0.72
1256.0,0.73,0.72
1257.0,0.74,0.72
1258.0,0.74,0.72
1259.0,0.74,0.72
1260.0,0.74,0.71
1261.0,0.74,0.72
1262.0,0.74,0.72
1263.0,0.74,0.72
1264.0,0.73,0.72
1265.0,0.74,0.73
1266.0,0.74,0.72
1267.0,0.74,0.73
1268.0,0.73,0.72
1269.0,0.74,0.72
1270.0,0.73,0.71
1271.0,0.73,0.72
1272.0,0.73,0.72
1273.0,0.74,0.72
1274.0,0.73,0.72
1275.0,0.73,0.73
1276.0,0.73,0.71
1277.0,0.74,0.73
1278.0,0.74,0.71
1279.0,0.74,0.73
1280.0,0.73,0.72
1281.0,0.73,0.72
1282.0,0.73,0.72
1283.0,0.73,0.73
1284.0,0.73,0.71
1285.0,0.74,0.73
1286.0,0.74,0.72
1287.0,0.73,0.72
1288.0,0.73,0.72
1289.0,0.74,0.72
1290.0,0.74,0.71
1291.0,0.74,0.73
1292.0,0.74,0.72
1293.0,0.74,0.72
1294.0,0.73,0.72
1295.0,0.74,0.72
1296.0,0.73,0.72
1297.0,0.73,0.73
1298.0,0.73,0.71
1299.0,0.74,0.73
1300.0,0.74,0.71
1301.0,0.73,0.73
1302.0,0.73,0.71
1303.0,0.73,0.72
1304.0,0.73,0.71
1305.0,0.74,0.72
1306.0,0.74,0.71
1307.0,0.74,0.72
1308.0,0.73,0.71
1309.0,0.73,0.72
1310.0,0.73,0.72
1311.0,0.73,0.73
1312.0,0.73,0.72
1313.0,0.74,0.72
1314.0,0.73,0.72
1315.0,0.73,0.72
1316.0,0.74,0.72
1317.0,0.74,0.72
1318.0,0.73,0.71
1319.0,0.73,0.72
1320.0,0.74,0.71
1321.0,0.73,0.72
1322.0,0.73,0.72
1323.0,0.73,0.72
1324.0,0.73,0.72
1325.0,0.74,0.73
1326.0,0.73,0.72
1327.0,0.73,0.73
1328.0,0.74,0.72
1329.0,0.74,0.73
1330.0,0.73,0.72
1331.0,0.74,0.72
1332.0,0.73,0.71
1333.0,0.74,0.73
1334.0,0.73,0.71
1335.0,0.73,0.72
1336.0,0.73,0.71
1337.0,0.73,0.72
1338.0,0.73,0.71
1339.0,0.73,0.72
1340.0,0.73,0.71
1341.0,0.73,0.73
1342.0,0.74,0.71
1343.0,0.73,0.72
1344.0,0.74,0.71
1345.0,0.74,0.73
1346.0,0.74,0.72
1347.0,0.73,0.73
1348.0,0.73,0.71
1349.0,0.73,0.72
1350.0,0.74,0.72
1351.0,0.73,0.73
1352.0,0.74,0.71
1353.0,0.74,0.73
1354.0,0.73,0.72
1355.0,0.73,0.72
1356.0,0.73,0.71
1357.0,0.73,0.72
1358.0,0.73,0.72
1359.0,0.73,0.72
1360.0,0.73,0.71
1361.0,0.73,0.72
1362.0,0.74,0.71
1363.0,0.74,0.72
1364.0,0.74,0.72
1365.0,0.74,0.72
1366.0,0.73,0.71
1367.0,0.74,0.72
1368.0,0.73,0.72
1369.0,0.74,0.73
1370.0,0.74,0.71
1371.0,0.73,0.73
1372.0,0.73,0.71
1373.0,0.74,0.72
1374.0,0.74,0.71
1375.0,0.73,0.72
1376.0,0.74,0.71
1377.0,0.74,0.72
1378.0,0.73,0.72
1379.0,0.73,0.73
1380.0,0.73,0.71
1381.0,0.73,0.72
1382.0,0.73,0.72
1383.0,0.74,0.73
1384.0,0.73,0.72
1385.0,0.73,0.72
1386.0,0.74,0.72
1387.0,0.74,0.72
1388.0,0.74,0.72
1389.0,0.74,0.72
1390.0,0.73,0.72
1391.0,0.74,0.73
1392.0,0.73,0.72
1393.0,0.74,0.73
1394.0,0.74,0.71
1395.0,0.73,0.72
1396.0,0.74,0.72
1397.0,0.73,0.72
1398.0,0.73,0.72
1399.0,0.73,0.72
1400.0,0.74,0.71
1401.0,0.74,0.73
1402.0,0.73,0.72
1403.0,0.73,0.72
1404.0,0.73,0.71
1405.0,0.74,0.73
1406.0,0.73,0.71
1407.0,0.74,0.72
1408.0,0.73,0.72
1409.0,0.73,0.73
1410.0,0.74,0.71
1411.0,0.73,0.73
1412.0,0.74,0.71
1413.0,0.74,0.72
1414.0,0.74,0.71
1415.0,0.73,0.72
1416.0,0.74,0.72
1417.0,0.74,0.73
1418.0,0.73,0.72
1419.0,0.73,0.72
1420.0,0.73,0.72
1421.0,0.73,0.72
1422.0,0.74,0.72
1423.0,0.74,0.72
1424.0,0.74,0.71
1425.0,0.74,0.73
1426.0,0.73,0.72
1427.0,0.73,0.73
1428.0,0.74,0.72
1429.0,0.73,0.73
1430.0,0.73,0.71
1431.0,0.74,0.73
1432.0,0.74,0.72
1433.0,0.73,0.72
1434.0,0.73,0.72
1435.0,0.74,0.72
1436.0,0.74,0.72
1437.0,0.73,0.73
1438.0,0.74,0.72
1439.0,0.73,0.72
1440.0,0.73,0.71
1441.0,0.73,0.72
1442.0,0.74,0.72
1443.0,0.73,0.73
1444.0,0.73,0.71
1445.0,0.74,0.73
1446.0,0.74,0.72
1447.0,0.74,0.73
1448.0,0.73,0.71
1449.0,0.73,0.73
1450.0,0.74,0.72
1451.0,0.73,0.73
1452.0,0.74,0.72
1453.0,0.73,0.72
1454.0,0.74,0.72
1455.0,0.73,0.73
1456.0,0.73,0.72
1457.0,0.74,0.72
1458.0,0.74,0.71
1459.0,0.73,0.72
1460.0,0.74,0.71
1461.0,0.74,0.72
1462.0,0.74,0.71
1463.0,0.74,0.72
1464.0,0.74,0.71
1465.0,0.74,0.73
1466.0,0.73,0.72
1467.0,0.74,0.72
1468.0,0.73,0.71
1469.0,0.74,0.73
1470.0,0.74,0.71
1471.0,0.74,0.73
1472.0,0.73,0.71
1473.0,0.73,0.72
1474.0,0.73,0.72
1475.0,0.73,0.72
1476.0,0.73,0.72
1477.0,0.73,0.72
1478.0,0.73,0.72
1479.0,0.73,0.73
1480.0,0.74,0.71
1481.0,0.74,0.72
1482.0,0.74,0.71
1483.0,0.74,0.73
1484.0,0.73,0.72
1485.0,0.73,0.72
1486.0,0.74,0.71
1487.0,0.73,0.73
1488.0,0.74,0.72
1489.0,0.74,0.72
1490.0,0.73,0.72
1491.0,0.73,0.73
1492.0,0.74,0.71
1493.0,0.73,0.72
1494.0,0.74,0.71
1495.0,0.74,0.73
1496.0,0.74,0.72
1497.0,0.73,0.73
1498.0,0.74,0.71
1499.0,0.74,0.72
1500.0,0.73,0.71
1501.0,0.73,0.72
1502.0,0.73,0.72
1503.0,0.73,0.73
1504.0,0.74,0.71
1505.0,0.74,0.73
1506.0,0.74,0.72
1507.0,0.73,0.73
1508.0,0.73,0.71
1509.0,0.74,0.72
1510.0,0.73,0.72
1511.0,0.73,0.73
1512.0,0.74,0.72
1513.0,0.74,0.73
1514.0,0.74,0.71
1515.0,0.73,0.72
1516.0,0.74,0.72
1517.0,0.73,0.73
1518.0,0.73,0.72
1519.0,0.73,0.73
1520.0,0.73,0.72
1521.0,0.74,0.73
1522.0,0.73,0.72
1523.0,0.73,0.72
1524.0,0.73,0.72
1525.0,0.74,0.72
1526.0,0.73,0.71
1527.0,0.73,0.72
1528.0,0.73,0.72
1529.0,0.74,0.72
1530.0,0.74,0.71
1531.0,0.74,0.72
1532.0,0.74,0.71
1533.0,0.73,0.72
1534.0,0.73,0.71
1535.0,0.74,0.73
1536.0,0.73,0.72
1537.0,0.73,0.73
1538.0,0.74,0.71
1539.0,0.73,0.73
1540.0,0.73,0.72
1541.0,0.74,0.72
1542.0,0.74,0.71
1543.0,0.73,0.72
1544.0,0.73,0.71
1545.0,0.73,0.73
1546.0,0.74,0.71
1547.0,0.73,0.72
1548.0,0.74,0.71
1549.0,0.73,0.72
1550.0,0.73,0.71
1551.0,0.74,0.72
1552.0,0.74,0.71
1553.0,0.74,0.72
1554.0,0.73,0.72
1555.0,0.74,0.73
1556.0,0.74,0.72
1557.0,0.74,0.72
1558.0,0.73,0.71
1559.0,0.73,0.73
1560.0,0.74,0.72
1561.0,0.74,0.72
1562.0,0.73,0.72
1563.0,0.73,0.72
1564.0,0.73,0.71
1565.0,0.74,0.72
1566.0,0.74,0.72
1567.0,0.74,0.73
1568.0,0.74,0.72
1569.0,0.74,0.73
1570.0,0.74,0.71
1571.0,0.73,0.73
1572.0,0.74,0.72
1573.0,0.73,0.72
1574.0,0.73,0.72
1575.0,0.73,0.73
1576.0,0.74,0.72
1577.0,0.74,0.73
1578.0,0.73,0.71
1579.0,0.73,0.72
1580.0,0.74,0.71
1581.0,0.74,0.73
1582.0,0.73,0.72
1583.0,0.73,0.72
1584.0,0.74,0.71
1585.0,0.73,0.73
1586.0,0.73,0.71
1587.0,0.73,0.72
1588.0,0.73,0.72
1589.0,0.73,0.72
1590.0,0.74,0.72
1591.0,0.73,0.73
1592.0,0.74,0.72
1593.0,0.74,0.72
1594.0,0.74,0.71
1595.0,0.74,0.72
1596.0,0.74,0.72
1597.0,0.73,0.73
1598.0,0.73,0.71
1599.0,0.74,0.73
1600.0,0.73,0.72
1601.0,0.73,0.73
1602.0,0.73,0.72
1603.0,0.74,0.73
1604.0,0.74,0.71
1605.0,0.74,0.73
1606.0,0.73,0.71
1607.0,0.74,0.73
1608.0,0.74,0.71
1609.0,0.74,0.73
1610.0,0.73,0.71
1611.0,0.73,0.72
1612.0,0.74,0.71
1613.0,0.73,0.73
1614.0,0.73,0.71
1615.0,0.74,0.73
1616.0,0.74,0.72
1617.0,0.73,0.73
1618.0,0.73,0.71
1619.0,0.73,0.73
1620.0,0.73,0.71
1621.0,0.73,0.73
1622.0,0.74,0.71
1623.0,0.73,0.72
1624.0,0.73,0.71
1625.0,0.73,0.72
1626.0,0.74,0.71
1627.0,0.73,0.72
1628.0,0.73,0.72
1629.0,0.74,0.72
1630.0,0.74,0.72
1631.0,0.74,0.72
1632.0,0.74,0.72
1633.0,0.74,0.73
1634.0,0.74,0.71
1635.0,0.74,0.73
1636.0,0.73,0.72
1637.0,0.73,0.73
1638.0,0.74,0.72
1639.0,0.74,0.73
1640.0,0.74,0.71
1641.0,0.73,0.72
1642.0,0.73,0.72
1643.0,0.73,0.72
1644.0,0.73,0.72
1645.0,0.74,0.73
1646.0,0.74,0.72
1647.0,0.74,0.72
1648.0,0.74,0.72
1649.0,0.73,0.73
1650.0,0.73,0.72
1651.0,0.74,0.72
1652.0,0.73,0.71
1653.0,0.74,0.72
1654.0,0.74,0.72
1655.0,0.73,0.73
1656.0,0.74,0.71
1657.0,0.73,0.72
1658.0,0.74,0.72
1659.0,0.74,0.72
1660.0,0.73,0.72
1661.0,0.73,0.73
1662.0,0.74,0.71
1663.0,0.73,0.72
1664.0,0.73,0.71
1665.0,0.74,0.72
1666.0,0.73,0.71
1667.0,0.73,0.73
1668.0,0.74,0.71
1669.0,0.74,0.73
1670.0,0.73,0.72
1671.0,0.73,0.73
1672.0,0.73,0.71
1673.0,0.73,0.73
1674.0,0.73,0.71
1675.0,0.73,0.72
1676.0,0.73,0.71
1677.0,0.74,0.73
1678.0,0.74,0.72
1679.0,0.74,0.73
1680.0,0.74,0.72
1681.0,0.74,0.73
1682.0,0.73,0.72
1683.0,0.74,0.72
1684.0,0.73,0.72
1685.0,0.73,0.72
1686.0,0.73,0.72
1687.0,0.74,0.73
1688.0,0.73,0.71
1689.0,0.73,0.72
1690.0,0.73,0.71
1691.0,0.74,0.73
1692.0,0.73,0.72
1693.0,0.74,0.73
1694.0,0.73,0.71
1695.0,0.73,0.72
1696.0,0.73,0.72
1697.0,0.73,0.73
1698.0,0.74,0.71
1699.0,0.74,0.73
1700.0,0.73,0.71
1701.0,0.73,0.73
1702.0,0.73,0.72
1703.0,0.73,0.72
1704.0,0.73,0.71
1705.0,0.73,0.72
1706.0,0.73,0.71
1707.0,0.74,0.73
1708.0,0.74,0.72
1709.0,0.74,0.72
1710.0,0.73,0.72
1711.0,0.74,0.73
1712.0,0.73,0.72
1713.0,0.73,0.73
1714.0,0.74,0.71
1715.0,0.74,0.73
1716.0,0.74,0.72
1717.0,0.74,0.72
1718.0,0.73,0.71
1719.0,0.74,0.73
1720.0,0.73,0.72
1721.0,0.74,0.73
1722.0,0.73,0.72
1723.0,0.74,0.73
1724.0,0.73,0.72
1725.0,0.74,0.73
1726.0,0.73,0.72
1727.0,0.73,0.72
1728.0,0.74,0.71
1729.0,0.74,0.72
1730.0,0.73,0.71
1731.0,0.74,0.72
1732.0,0.73,0.72
1733.0,0.73,0.72
1734.0,0.74,0.71
1735.0,0.74,0.72
1736.0,0.73,0.72
1737.0,0.73,0.73
1738.0,0.74,0.71
1739.0,0.74,0.73
1740.0,0.74,0.71
1741.0,0.74,0.73
1742.0,0.74,0.72
1743.0,0.73,0.72
1744.0,0.74,0.71
1745.0,0.73,0.72
1746.0,0.73,0.72
1747.0,0.73,0.73
1748.0,0.74,0.71
1749.0,0.74,0.73
1750.0,0.74,0.72
1751.0,0.74,0.73
1752.0,0.74,0.71
1753.0,0.73,0.73
1754.0,0.73,0.72
1755.0,0.73,0.73
1756.0,0.74,0.71
1757.0,0.73,0.73
1758.0,0.74,0.72
1759.0,0.74,0.73
1760.0,0.73,0.72
1761.0,0.73,0.73
1762.0,0.73,0.71
1763.0,0.74,0.73
1764.0,0.74,0.72
1765.0,0.74,0.72
1766.0,0.73,0.71
1767.0,0.73,0.72
1768.0,0.73,0.71
1769.0,0.73,0.72
1770.0,0.73,0.72
1771.0,0.74,0.73
1772.0,0.73,0.71
1773.0,0.73,0.72
1774.0,0.73,0.71
1775.0,0.74,0.72
1776.0,0.73,0.71
1777.0,0.73,0.73
1778.0,0.73,0.71
1779.0,0.74,0.73
1780.0,0.73,0.72
1781.0,0.74,0.73
1782.0,0.74,0.71
1783.0,0.74,0.73
1784.0,0.73,0.72
1785.0,0.73,0.73
1786.0,0.73,0.72
1787.0,0.73,0.72
1788.0,0.73,0.71
1789.0,0.73,0.72
1790.0,0.73,0.72
1791.0,0.74,0.72
1792.0,0.74,0.72
1793.0,0.74,0.73
1794.0,0.74,0.71
1795.0,0.74,0.72
1796.0,0.74,0.71
1797.0,0.74,0.73
1798.0,0.73,0.72
1799.0,0.74,0.72
1800.0,0.73,0.72
1801.0,0.74,0.72
1802.0,0.73,0.72
1803.0,0.74,0.72
1804.0,0.73,0.71
1805.0,0.74,0.73
1806.0,0.73,0.72
1807.0,0.74,0.72
1808.0,0.74,0.72
1809.0,0.74,0.72
1810.0,0.73,0.72
1811.0,0.73,0.73
1812.0,0.74,0.72
1813.0,0.73,0.72
1814.0,0.74,0.71
1815.0,0.74,0.72
1816.0,0.74,0.71
1817.0,0.74,0.72
1818.0,0.74,0.71
1819.0,0.74,0.73
1820.0,0.74,0.71
1821.0,0.74,0.73
1822.0,0.74,0.72
1823.0,0.74,0.73
1824.0,0.74,0.71
1825.0,0.73,0.73
1826.0,0.73,0.72
1827.0,0.74,0.72
1828.0,0.74,0.71
1829.0,0.74,0.73
1830.0,0.73,0.72
1831.0,0.73,0.73
1832.0,0.74,0.71
1833.0,0.74,0.73
1834.0,0.73,0.72
1835.0,0.74,0.73
1836.0,0.74,0.72
1837.0,0.73,0.73
1838.0,0.73,0.71
1839.0,0.74,0.72
1840.0,0.73,0.72
1841.0,0.74,0.73
1842.0,0.73,0.71
1843.0,0.73,0.72
1844.0,0.73,0.71
1845.0,0.74,0.72
1846.0,0.74,0.71
1847.0,0.74,0.73
1848.0,0.74,0.72
1849.0,0.74,0.73
1850.0,0.74,0.71
1851.0,0.73,0.73
1852.0,0.74,0.72
1853.0,0.73,0.72
1854.0,0.74,0.72
1855.0,0.73,0.73
1856.0,0.73,0.72
1857.0,0.73,0.72
1858.0,0.74,0.71
1859.0,0.74,0.73
1860.0,0.74,0.72
1861.0,0.73,0.72
1862.0,0.74,0.71
1863.0,0.74,0.73
1864.0,0.73,0.72
1865.0,0.73,0.72
1866.0,0.73,0.72
1867.0,0.73,0.73
1868.0,0.74,0.72
1869.0,0.73,0.73
1870.0,0.74,0.71
1871.0,0.73,0.73
1872.0,0.73,0.71
1873.0,0.74,0.72
1874.0,0.74,0.71
1875.0,0.73,0.73
1876.0,0.74,0.72
1877.0,0.73,0.73
1878.0,0.74,0.71
1879.0,0.73,0.73
1880.0,0.73,0.72
1881.0,0.74,0.72
1882.0,0.73,0.71
1883.0,0.73,0.72
1884.0,0.73,0.72
1885.0,0.73,0.72
1886.0,0.74,0.71
1887.0,0.74,0.73
1888.0,0.73,0.72
1889.0,0.73,0.73
1890.0,0.73,0.72
1891.0,0.73,0.73
1892.0,0.74,0.71
1893.0,0.73,0.72
1894.0,0.74,0.72
1895.0,0.73,0.73
1896.0,0.73,0.72
1897.0,0.74,0.73
1898.0,0.74,0.71
1899.0,0.73,0.72
1900.0,0.73,0.72
1901.0,0.73,0.72
1902.0,0.74,0.72
1903.0,0.73,0.73
1904.0,0.74,0.71
1905.0,0.73,0.73
1906.0,0.73,0.72
1907.0,0.74,0.73
1908.0,0.73,0.72
1909.0,0.74,0.73
1910.0,0.74,0.72
1911.0,0.74,0.73
1912.0,0.73,0.71
1913.0,0.73,0.73
1914.0,0.73,0.72
1915.0,0.74,0.72
1916.0,0.73,0.72
1917.0,0.74,0.72
1918.0,0.74,0.71
1919.0,0.74,0.73
1920.0,0.74,0.72
1921.0,0.74,0.73
1922.0,0.73,0.72
1923.0,0.73,0.73
1924.0,0.74,0.72
1925.0,0.73,0.72
1926.0,0.74,0.72
1927.0,0.73,0.72
1928.0,0.74,0.72
1929.0,0.74,0.73
1930.0,0.74,0.71
1931.0,0.74,0.72
1932.0,0.74,0.72
1933.0,0.73,0.72
1934.0,0.73,0.71
1935.0,0.73,0.73
1936.0,0.73,0.71
1937.0,0.74,0.73
1938.0,0.74,0.72
1939.0,0.74,0.72
1940.0,0.74,0.71
1941.0,0.74,0.72
1942.0,0.73,0.71
1943.0,0.73,0.73
1944.0,0.74,0.72
1945.0,0.74,0.73
1946.0,0.74,0.72
1947.0,0.74,0.73
1948.0,0.74,0.72
1949.0,0.73,0.72
1950.0,0.73,0.71
1951.0,0.73,0.73
1952.0,0.74,0.72
1953.0,0.73,0.72
1954.0,0.73,0.71
1955.0,0.74,0.72
1956.0,0.73,0.72
1957.0,0.73,0.72
1958.0,0.73,0.72
1959.0,0.73,0.73
1960.0,0.73,0.71
1961.0,0.74,0.73
1962.0,0.74,0.71
1963.0,0.73,0.72
1964.0,0.73,0.71
1965.0,0.74,0.72
1966.0,0.73,0.72
1967.0,0.73,0.73
1968.0,0.73,0.72
1969.0,0.73,0.73
1970.0,0.74,0.71
1971.0,0.74,0.72
1972.0,0.74,0.71
1973.0,0.73,0.72
1974.0,0.74,0.72
1975.0,0.74,0.72
1976.0,0.74,0.72
1977.0,0.74,0.72
1978.0,0.74,0.71
1979.0,0.74,0.72
1980.0,0.73,0.72
1981.0,0.73,0.72
1982.0,0.73,0.72
1983.0,0.74,0.72
1984.0,0.73,0.71
1985.0,0.74,0.72
1986.0,0.73,0.72
1987.0,0.74,0.73
1988.0,0.74,0.72
1989.0,0.74,0.73
1990.0,0.74,0.71
1991.0,0.74,0.73
1992.0,0.73,0.71
1993.0,0.74,0.73
1994.0,0.74,0.71
1995.0,0.73,0.72
1996.0,0.74,0.71
1997.0,0.73,0.72
1998.0,0.73,0.71
1999.0,0.74,0.73
2000.0,0.74,0.72
2001.0,0.73,0.73
2002.0,0.73,0.72
2003.0,0.73,0.73
2004.0,0.73,0.72
2005.0,0.73,0.72
2006.0,0.73,0.71
2007.0,0.73,0.73
2008.0,0.74,0.71
2009.0,0.74,0.73
2010.0,0.73,0.72
2011.0,0.74,0.73
2012.0,0.73,0.72
2013.0,0.74,0.72
2014.0,0.74,0.71
2015.0,0.73,0.72
2016.0,0.73,0.72
2017.0,0.74,0.72
2018.0,0.74,0.72
2019.0,0.73,0.72
2020.0,0.73,0.72
2021.0,0.73,0.72
2022.0,0.74,0.72
2023.0,0.74,0.73
2024.0,0.73,0.71
2025.0,0.74,0.72
2026.0,0.73,0.71
2027.0,0.74,0.73
2028.0,0.73,0.72
2029.0,0.74,0.72
2030.0,0.73,0.72
2031.0,0.73,0.72
2032.0,0.73,0.71
2033.0,0.74,0.72
2034.0,0.74,0.71
2035.0,0.73,0.72
2036.0,0.73,0.72
2037.0,0.73,0.72
2038.0,0.74,0.72
2039.0,0.74,0.72
2040.0,0.74,0.72
2041.0,0.74,0.73
2042.0,0.73,0.72
2043.0,0.74,0.72
2044.0,0.73,0.71
2045.0,0.73,0.73
2046.0,0.73,0.71
2047.0,0.73,0.73
2048.0,0.73,0.72
2049.0,0.74,0.73
2050.0,0.74,0.71
2051.0,0.74,0.72
2052.0,0.73,0.71
2053.0,0.74,0.72
2054.0,0.74,0.72
2055.0,0.73,0.73
2056.0,0.74,0.72
2057.0,0.74,0.72
2058.0,0.74,0.71
2059.0,0.74,0.73
2060.0,0.74,0.71
2061.0,0.73,0.72
2062.0,0.73,0.71
2063.0,0.73,0.72
2064.0,0.74,0.71
2065.0,0.73,0.73
2066.0,0.73,0.72
2067.0,0.73,0.72
2068.0,0.73,0.71
2069.0,0.73,0.72
2070.0,0.73,0.71
2071.0,0.73,0.73
2072.0,0.73,0.72
2073.0,0.73,0.73
2074.0,0.74,0.71
2075.0,0.74,0.72
2076.0,0.74,0.71
2077.0,0.73,0.72
2078.0,0.74,0.71
2079.0,0.73,0.72
2080.0,0.73,0.71
2081.0,0.73,0.72
2082.0,0.74,0.71
2083.0,0.73,0.73
2084.0,0.74,0.72
2085.0,0.73,0.73
2086.0,0.74,0.72
2087.0,0.74,0.73
2088.0,0.74,0.71
2089.0,0.74,0.72
2090.0,0.74,0.72
2091.0,0.74,0.73
2092.0,0.73,0.71
2093.0,0.74,0.72
2094.0,0.73,0.71
2095.0,0.74,0.72
2096.0,0.74,0.71
2097.0,0.74,0.72
2098.0,0.74,0.72
2099.0,0.73,0.72
2100.0,0.74,0.72
2101.0,0.74,0.72
2102.0,0.74,0.71
2103.0,0.73,0.73
2104.0,0.74,0.71
2105.0,0.74,0.72
2106.0,0.73,0.72
2107.0,0.73,0.72
2108.0,0.73,0.71
2109.0,0.73,0.73
2110.0,0.74,0.72
2111.0,0.73,0.72
2112.0,0.73,0.71
2113.0,0.74,0.72
2114.0,0.74,0.71
2115.0,0.73,0.73
2116.0,0.73,0.71
2117.0,0.73,0.72
2118.0,0.74,0.71
2119.0,0.73,0.73
2120.0,0.73,0.72
2121.0,0.73,0.73
2122.0,0.74,0.71
2123.0,0.73,0.73
2124.0,0.74,0.72
2125.0,0.73,0.73
2126.0,0.74,0.71
2127.0,0.74,0.73
2128.0,0.74,0.71
2129.0,0.73,0.72
2130.0,0.74,0.72
2131.0,0.73,0.73
2132.0,0.74,0.71
2133.0,0.73,0.72
2134.0,0.73,0.71
2135.0,0.74,0.73
2136.0,0.73,0.71
2137.0,0.73,0.73
2138.0,0.74,0.72
2139.0,0.73,0.72
2140.0,0.73,0.71
2141.0,0.73,0.72
2142.0,0.74,0.71
2143.0,0.73,0.72
2144.0,0.73,0.72
2145.0,0.73,0.73
2146.0,0.73,0.71
2147.0,0.74,0.73
2148.0,0.74,0.71
2149.0,0.73,0.72
2150.0,0.73,0.71
2151.0,0.73,0.73
2152.0,0.74,0.72
2153.0,0.73,0.73
2154.0,0.74,0.72
2155.0,0.73,0.73
2156.0,0.73,0.72
2157.0,0.73,0.72
2158.0,0.74,0.71
2159.0,0.73,0.72
2160.0,0.73,0.71
2161.0,0.74,0.73
2162.0,0.74,0.71
2163.0,0.73,0.73
2164.0,0.73,0.72
2165.0,0.73,0.73
2166.0,0.73,0.71
2167.0,0.74,0.73
2168.0,0.74,0.72
2169.0,0.74,0.73
2170.0,0.74,0.72
2171.0,0.73,0.73
2172.0,0.74,0.72
2173.0,0.73,0.72
2174.0,0.73,0.72
2175.0,0.74,0.73
2176.0,0.73,0.72
2177.0,0.73,0.72
2178.0,0.74,0.71
2179.0,0.73,0.72
2180.0,0.73,0.71
2181.0,0.74,0.72
2182.0,0.73,0.71
2183.0,0.73,0.73
2184.0,0.73,0.72
2185.0,0.74,0.72
2186.0,0.74,0.72
2187.0,0.73,0.73
2188.0,0.73,0.72
2189.0,0.73,0.73
2190.0,0.73,0.71
2191.0,0.73,0.73
2192.0,0.73,0.72
2193.0,0.74,0.72
2194.0,0.73,0.71
2195.0,0.73,0.73
2196.0,0.74,0.71
2197.0,0.73,0.72
2198.0,0.73,0.72
2199.0,0.73,0.73
2200.0,0.73,0.72
2201.0,0.73,0.72
2202.0,0.73,0.72
2203.0,0.73,0.72
2204.0,0.73,0.71
2205.0,0.73,0.72
2206.0,0.74,0.72
2207.0,0.74,0.72
2208.0,0.74,0.72
2209.0,0.73,0.72
2210.0,0.74,0.71
2211.0,0.73,0.73
2212.0,0.74,0.71
2213.0,0.74,0.73
2214.0,0.74,0.72
2215.0,0.73,0.73
2216.0,0.74,0.72
2217.0,0.73,0.73
2218.0,0.74,0.72
2219.0,0.73,0.73
2220.0,0.73,0.71
2221.0,0.74,0.72
2222.0,0.73,0.72
2223.0,0.74,0.73
