step,R1.0,R0.9,R0.8
2138.0,0.77,0.84,0.86
2139.0,0.77,0.83,0.88
2140.0,0.77,0.83,0.86
2141.0,0.77,0.83,0.88
2142.0,0.76,0.84,0.86
2143.0,0.76,0.84,0.88
2144.0,0.76,0.84,0.86
2145.0,0.76,0.86,0.88
2146.0,0.76,0.85,0.86
2147.0,0.76,0.85,0.88
2148.0,0.76,0.85,0.86
2149.0,0.76,0.85,0.88
2150.0,0.76,0.85,0.86
2151.0,0.76,0.84,0.88
2152.0,0.76,0.85,0.86
2153.0,0.76,0.84,0.88
2154.0,0.76,0.85,0.86
2155.0,0.76,0.83,0.88
2156.0,0.76,0.85,0.87
2157.0,0.76,0.85,0.88
2158.0,0.76,0.85,0.87
2159.0,0.76,0.85,0.89
2160.0,0.76,0.84,0.88
2161.0,0.76,0.84,0.88
2162.0,0.76,0.85,0.88
2163.0,0.76,0.84,0.89
2164.0,0.76,0.85,0.87
2165.0,0.76,0.85,0.89
2166.0,0.76,0.85,0.87
2167.0,0.76,0.85,0.87
2168.0,0.76,0.84,0.87
2169.0,0.76,0.85,0.88
2170.0,0.76,0.84,0.88
2171.0,0.76,0.85,0.88
2172.0,0.76,0.84,0.88
2173.0,0.76,0.86,0.88
2174.0,0.76,0.84,0.88
2175.0,0.76,0.86,0.88
2176.0,0.76,0.85,0.88
2177.0,0.76,0.86,0.88
2178.0,0.76,0.84,0.87
2179.0,0.76,0.87,0.89
2180.0,0.76,0.84,0.87
2181.0,0.76,0.85,0.89
2182.0,0.76,0.87,0.87
2183.0,0.76,0.85,0.89
2184.0,0.76,0.88,0.87
2185.0,0.76,0.85,0.89
2186.0,0.76,0.87,0.87
2187.0,0.76,0.84,0.89
2188.0,0.76,0.86,0.87
2189.0,0.76,0.86,0.89
2190.0,0.76,0.87,0.87
2191.0,0.76,0.85,0.89
2192.0,0.76,0.88,0.87
2193.0,0.76,0.83,0.89
2194.0,0.76,0.87,0.87
2195.0,0.76,0.83,0.89
2196.0,0.76,0.88,0.87
2197.0,0.76,0.84,0.89
2198.0,0.76,0.87,0.87
2199.0,0.76,0.86,0.89
2200.0,0.76,0.86,0.87
2201.0,0.76,0.86,0.89
2202.0,0.76,0.86,0.87
2203.0,0.76,0.86,0.89
2204.0,0.76,0.86,0.87
2205.0,0.76,0.85,0.89
2206.0,0.76,0.85,0.87
2207.0,0.77,0.85,0.89
2208.0,0.77,0.84,0.87
2209.0,0.77,0.87,0.89
2210.0,0.77,0.86,0.87
2211.0,0.77,0.85,0.89
2212.0,0.77,0.86,0.87
2213.0,0.77,0.85,0.89
2214.0,0.76,0.88,0.87
2215.0,0.77,0.83,0.89
2216.0,0.77,0.88,0.87
2217.0,0.77,0.84,0.89
2218.0,0.77,0.88,0.87
2219.0,0.77,0.85,0.89
2220.0,0.77,0.89,0.87
2221.0,0.77,0.85,0.89
2222.0,0.77,0.88,0.87
2223.0,0.77,0.86,0.89
2224.0,0.77,0.86,0.87
2225.0,0.77,0.85,0.89
2226.0,0.77,0.86,0.87
2227.0,0.77,0.84,0.89
2228.0,0.77,0.88,0.87
2229.0,0.77,0.84,0.87
2230.0,0.77,0.87,0.87
2231.0,0.77,0.86,0.87
2232.0,0.77,0.87,0.87
2233.0,0.77,0.86,0.88
2234.0,0.77,0.87,0.87
2235.0,0.77,0.86,0.87
2236.0,0.77,0.86,0.86
2237.0,0.76,0.86,0.87
2238.0,0.76,0.88,0.87
2239.0,0.76,0.85,0.87
2240.0,0.76,0.86,0.87
2241.0,0.76,0.86,0.87
2242.0,0.76,0.86,0.87
2243.0,0.76,0.85,0.87
2244.0,0.77,0.85,0.86
2245.0,0.76,0.86,0.88
2246.0,0.76,0.84,0.85
2247.0,0.76,0.86,0.88
2248.0,0.76,0.86,0.85
2249.0,0.76,0.86,0.89
2250.0,0.76,0.85,0.85
2251.0,0.76,0.88,0.89
2252.0,0.76,0.85,0.85
2253.0,0.76,0.87,0.88
2254.0,0.76,0.86,0.85
2255.0,0.76,0.86,0.89
2256.0,0.76,0.85,0.86
2257.0,0.76,0.86,0.89
2258.0,0.76,0.85,0.86
2259.0,0.76,0.86,0.87
2260.0,0.76,0.85,0.86
2261.0,0.76,0.87,0.86
2262.0,0.76,0.86,0.86
2263.0,0.76,0.87,0.86
2264.0,0.76,0.86,0.86
2265.0,0.76,0.86,0.87
2266.0,0.77,0.86,0.87
2267.0,0.76,0.87,0.86
2268.0,0.76,0.86,0.87
2269.0,0.76,0.87,0.86
2270.0,0.76,0.86,0.87
2271.0,0.76,0.87,0.86
2272.0,0.76,0.86,0.87
2273.0,0.76,0.87,0.86
2274.0,0.76,0.86,0.87
2275.0,0.76,0.87,0.86
2276.0,0.76,0.85,0.87
2277.0,0.76,0.88,0.87
2278.0,0.76,0.86,0.87
2279.0,0.76,0.86,0.88
2280.0,0.76,0.87,0.86
2281.0,0.76,0.87,0.88
2282.0,0.76,0.87,0.86
2283.0,0.76,0.86,0.88
2284.0,0.76,0.86,0.86
2285.0,0.76,0.86,0.88
2286.0,0.76,0.86,0.85
2287.0,0.76,0.86,0.88
2288.0,0.76,0.87,0.86
2289.0,0.76,0.85,0.88
2290.0,0.76,0.87,0.86
2291.0,0.76,0.86,0.88
2292.0,0.76,0.87,0.86
2293.0,0.76,0.86,0.88
2294.0,0.76,0.87,0.86
2295.0,0.76,0.86,0.88
2296.0,0.76,0.87,0.86
2297.0,0.76,0.86,0.88
2298.0,0.76,0.87,0.86
2299.0,0.76,0.87,0.88
2300.0,0.76,0.88,0.87
2301.0,0.77,0.86,0.88
2302.0,0.77,0.87,0.87
2303.0,0.77,0.87,0.87
2304.0,0.77,0.88,0.87
2305.0,0.77,0.87,0.87
2306.0,0.77,0.87,0.87
2307.0,0.77,0.86,0.88
2308.0,0.77,0.87,0.86
2309.0,0.77,0.87,0.87
2310.0,0.77,0.86,0.87
2311.0,0.77,0.87,0.87
2312.0,0.77,0.86,0.87
2313.0,0.77,0.88,0.88
2314.0,0.77,0.85,0.87
2315.0,0.77,0.88,0.89
2316.0,0.77,0.86,0.86
2317.0,0.77,0.87,0.89
2318.0,0.77,0.86,0.86
2319.0,0.77,0.87,0.89
2320.0,0.77,0.86,0.86
2321.0,0.77,0.87,0.89
2322.0,0.77,0.86,0.86
2323.0,0.77,0.87,0.89
2324.0,0.77,0.86,0.86
2325.0,0.77,0.87,0.89
2326.0,0.77,0.86,0.87
2327.0,0.77,0.87,0.89
2328.0,0.77,0.86,0.86
2329.0,0.77,0.87,0.89
2330.0,0.77,0.86,0.86
2331.0,0.77,0.87,0.88
2332.0,0.77,0.87,0.87
2333.0,0.77,0.86,0.89
2334.0,0.77,0.87,0.86
2335.0,0.77,0.86,0.89
2336.0,0.76,0.87,0.87
2337.0,0.76,0.86,0.88
2338.0,0.76,0.86,0.88
2339.0,0.76,0.87,0.88
2340.0,0.76,0.86,0.88
2341.0,0.76,0.87,0.88
2342.0,0.76,0.86,0.87
2343.0,0.76,0.87,0.87
2344.0,0.76,0.86,0.88
2345.0,0.76,0.87,0.87
2346.0,0.76,0.86,0.87
2347.0,0.76,0.87,0.88
2348.0,0.76,0.86,0.87
2349.0,0.76,0.87,0.88
2350.0,0.76,0.86,0.87
2351.0,0.76,0.87,0.87
2352.0,0.76,0.86,0.87
2353.0,0.76,0.87,0.88
2354.0,0.76,0.86,0.86
2355.0,0.76,0.87,0.88
2356.0,0.76,0.86,0.86
2357.0,0.76,0.87,0.89
2358.0,0.76,0.86,0.87
2359.0,0.76,0.87,0.88
2360.0,0.76,0.86,0.86
2361.0,0.76,0.87,0.88
2362.0,0.76,0.86,0.87
2363.0,0.76,0.87,0.88
2364.0,0.76,0.86,0.87
2365.0,0.76,0.87,0.89
2366.0,0.76,0.86,0.87
2367.0,0.76,0.87,0.89
2368.0,0.76,0.86,0.86
2369.0,0.76,0.87,0.9
2370.0,0.76,0.86,0.88
2371.0,0.76,0.87,0.89
2372.0,0.76,0.85,0.87
2373.0,0.76,0.87,0.89
2374.0,0.76,0.86,0.87
2375.0,0.76,0.86,0.9
2376.0,0.76,0.87,0.87
2377.0,0.76,0.86,0.9
2378.0,0.76,0.87,0.87
2379.0,0.76,0.85,0.9
2380.0,0.76,0.87,0.87
2381.0,0.76,0.85,0.9
2382.0,0.76,0.87,0.88
2383.0,0.76,0.85,0.9
2384.0,0.76,0.87,0.88
2385.0,0.76,0.85,0.9
2386.0,0.76,0.86,0.87
2387.0,0.76,0.85,0.89
2388.0,0.76,0.86,0.86
2389.0,0.76,0.85,0.88
2390.0,0.76,0.86,0.87
2391.0,0.76,0.85,0.89
2392.0,0.76,0.86,0.86
2393.0,0.76,0.85,0.9
2394.0,0.76,0.86,0.87
2395.0,0.76,0.85,0.87
2396.0,0.76,0.86,0.89
2397.0,0.76,0.85,0.88
2398.0,0.76,0.86,0.87
2399.0,0.76,0.85,0.89
2400.0,0.76,0.86,0.88
2401.0,0.76,0.85,0.88
2402.0,0.76,0.86,0.87
2403.0,0.76,0.85,0.88
2404.0,0.76,0.85,0.87
2405.0,0.76,0.87,0.87
2406.0,0.76,0.85,0.89
2407.0,0.76,0.87,0.87
2408.0,0.76,0.87,0.87
2409.0,0.76,0.87,0.88
2410.0,0.76,0.87,0.88
2411.0,0.76,0.87,0.88
2412.0,0.76,0.87,0.88
2413.0,0.76,0.86,0.88
2414.0,0.76,0.87,0.88
2415.0,0.76,0.86,0.89
2416.0,0.76,0.87,0.86
2417.0,0.76,0.86,0.89
2418.0,0.76,0.87,0.88
2419.0,0.76,0.87,0.88
2420.0,0.77,0.87,0.86
2421.0,0.77,0.87,0.9
2422.0,0.77,0.86,0.86
2423.0,0.77,0.87,0.88
2424.0,0.77,0.87,0.87
2425.0,0.77,0.86,0.87
2426.0,0.77,0.87,0.88
2427.0,0.77,0.86,0.88
2428.0,0.77,0.88,0.88
2429.0,0.77,0.86,0.88
2430.0,0.77,0.88,0.89
2431.0,0.77,0.87,0.86
2432.0,0.77,0.88,0.89
2433.0,0.77,0.86,0.87
2434.0,0.77,0.88,0.88
2435.0,0.77,0.86,0.88
2436.0,0.77,0.87,0.87
2437.0,0.77,0.86,0.89
2438.0,0.77,0.87,0.89
2439.0,0.77,0.87,0.89
2440.0,0.77,0.87,0.88
2441.0,0.77,0.86,0.89
2442.0,0.77,0.87,0.87
2443.0,0.77,0.86,0.88
2444.0,0.77,0.88,0.88
2445.0,0.77,0.85,0.88
2446.0,0.77,0.88,0.88
2447.0,0.77,0.86,0.88
2448.0,0.77,0.88,0.88
2449.0,0.77,0.87,0.89
2450.0,0.77,0.88,0.88
2451.0,0.77,0.86,0.88
2452.0,0.77,0.87,0.89
2453.0,0.77,0.87,0.87
2454.0,0.77,0.88,0.88
2455.0,0.77,0.87,0.89
2456.0,0.77,0.88,0.88
2457.0,0.77,0.86,0.88
2458.0,0.77,0.88,0.88
2459.0,0.77,0.86,0.88
2460.0,0.77,0.88,0.87
2461.0,0.77,0.87,0.88
2462.0,0.77,0.87,0.88
2463.0,0.77,0.87,0.88
2464.0,0.77,0.87,0.87
2465.0,0.77,0.87,0.88
2466.0,0.77,0.87,0.87
2467.0,0.77,0.87,0.89
2468.0,0.77,0.88,0.87
2469.0,0.77,0.86,0.89
2470.0,0.77,0.89,0.87
2471.0,0.77,0.86,0.89
2472.0,0.77,0.89,0.88
2473.0,0.77,0.86,0.88
2474.0,0.77,0.88,0.87
2475.0,0.77,0.87,0.89
2476.0,0.77,0.88,0.87
2477.0,0.77,0.87,0.88
2478.0,0.77,0.87,0.86
2479.0,0.77,0.87,0.89
2480.0,0.77,0.86,0.86
2481.0,0.77,0.88,0.88
2482.0,0.77,0.87,0.87
2483.0,0.77,0.88,0.89
2484.0,0.77,0.87,0.87
2485.0,0.77,0.87,0.88
2486.0,0.77,0.86,0.86
2487.0,0.77,0.89,0.89
2488.0,0.77,0.86,0.86
2489.0,0.77,0.89,0.89
2490.0,0.77,0.86,0.86
2491.0,0.77,0.89,0.89
2492.0,0.77,0.88,0.86
2493.0,0.77,0.88,0.89
2494.0,0.77,0.87,0.86
2495.0,0.77,0.88,0.89
2496.0,0.77,0.88,0.86
2497.0,0.77,0.87,0.89
2498.0,0.77,0.87,0.86
2499.0,0.77,0.88,0.9
2500.0,0.77,0.87,0.87
2501.0,0.77,0.89,0.89
2502.0,0.77,0.87,0.87
2503.0,0.77,0.88,0.89
2504.0,0.77,0.87,0.87
2505.0,0.76,0.87,0.89
2506.0,0.76,0.89,0.87
2507.0,0.76,0.87,0.89
2508.0,0.76,0.88,0.86
2509.0,0.76,0.88,0.89
2510.0,0.76,0.89,0.86
2511.0,0.76,0.87,0.9
2512.0,0.76,0.88,0.87
2513.0,0.76,0.86,0.89
2514.0,0.76,0.89,0.86
2515.0,0.76,0.86,0.9
2516.0,0.76,0.88,0.88
2517.0,0.76,0.86,0.88
2518.0,0.76,0.88,0.88
2519.0,0.76,0.87,0.88
2520.0,0.76,0.87,0.87
2521.0,0.76,0.87,0.9
2522.0,0.76,0.85,0.87
2523.0,0.76,0.88,0.88
2524.0,0.76,0.87,0.86
2525.0,0.76,0.87,0.9
2526.0,0.76,0.86,0.86
2527.0,0.76,0.87,0.89
2528.0,0.76,0.85,0.88
2529.0,0.76,0.88,0.88
2530.0,0.76,0.86,0.88
2531.0,0.76,0.89,0.88
2532.0,0.76,0.87,0.88
2533.0,0.76,0.87,0.88
2534.0,0.76,0.87,0.87
2535.0,0.76,0.87,0.89
2536.0,0.76,0.87,0.88
2537.0,0.76,0.87,0.89
2538.0,0.76,0.87,0.87
2539.0,0.76,0.87,0.89
2540.0,0.76,0.87,0.88
2541.0,0.76,0.87,0.88
2542.0,0.76,0.88,0.87
2543.0,0.76,0.87,0.89
2544.0,0.76,0.88,0.88
2545.0,0.76,0.87,0.88
2546.0,0.76,0.86,0.89
2547.0,0.76,0.88,0.88
2548.0,0.77,0.86,0.89
2549.0,0.77,0.88,0.88
2550.0,0.77,0.88,0.89
2551.0,0.77,0.87,0.87
2552.0,0.77,0.88,0.89
2553.0,0.77,0.88,0.88
2554.0,0.77,0.87,0.87
2555.0,0.77,0.89,0.87
2556.0,0.77,0.86,0.87
2557.0,0.77,0.89,0.88
2558.0,0.77,0.88,0.87
2559.0,0.77,0.87,0.88
2560.0,0.77,0.88,0.87
2561.0,0.77,0.87,0.87
2562.0,0.77,0.88,0.88
2563.0,0.77,0.87,0.87
2564.0,0.77,0.88,0.87
2565.0,0.77,0.87,0.87
2566.0,0.77,0.88,0.88
2567.0,0.77,0.88,0.87
2568.0,0.77,0.86,0.87
2569.0,0.77,0.88,0.87
2570.0,0.77,0.85,0.88
2571.0,0.77,0.89,0.87
2572.0,0.77,0.85,0.88
2573.0,0.77,0.88,0.88
2574.0,0.77,0.86,0.87
2575.0,0.77,0.87,0.88
2576.0,0.77,0.87,0.88
2577.0,0.77,0.87,0.88
2578.0,0.77,0.86,0.88
2579.0,0.77,0.87,0.87
2580.0,0.77,0.87,0.88
2581.0,0.77,0.87,0.87
2582.0,0.77,0.86,0.88
2583.0,0.77,0.88,0.89
2584.0,0.77,0.85,0.88
2585.0,0.77,0.89,0.89
2586.0,0.77,0.85,0.89
2587.0,0.77,0.88,0.88
2588.0,0.77,0.86,0.89
2589.0,0.77,0.89,0.88
2590.0,0.77,0.85,0.88
2591.0,0.77,0.89,0.89
2592.0,0.77,0.85,0.89
2593.0,0.76,0.88,0.88
2594.0,0.76,0.85,0.88
2595.0,0.76,0.89,0.87
2596.0,0.76,0.87,0.87
2597.0,0.76,0.88,0.88
2598.0,0.76,0.87,0.87
2599.0,0.76,0.88,0.88
2600.0,0.76,0.88,0.89
2601.0,0.76,0.88,0.88
2602.0,0.76,0.88,0.87
2603.0,0.76,0.88,0.88
2604.0,0.76,0.88,0.87
2605.0,0.76,0.88,0.88
2606.0,0.76,0.88,0.88
2607.0,0.76,0.88,0.88
2608.0,0.76,0.89,0.87
2609.0,0.76,0.88,0.88
2610.0,0.76,0.88,0.87
2611.0,0.76,0.88,0.89
2612.0,0.76,0.87,0.88
2613.0,0.76,0.89,0.89
2614.0,0.76,0.87,0.87
2615.0,0.76,0.89,0.89
2616.0,0.76,0.87,0.87
2617.0,0.76,0.88,0.89
2618.0,0.76,0.87,0.87
2619.0,0.76,0.88,0.89
2620.0,0.76,0.87,0.87
2621.0,0.76,0.88,0.89
2622.0,0.76,0.86,0.88
2623.0,0.76,0.89,0.89
2624.0,0.76,0.86,0.89
2625.0,0.76,0.89,0.88
2626.0,0.76,0.85,0.89
2627.0,0.76,0.88,0.88
2628.0,0.76,0.86,0.88
2629.0,0.76,0.88,0.89
2630.0,0.76,0.86,0.89
2631.0,0.76,0.87,0.88
2632.0,0.76,0.85,0.89
2633.0,0.76,0.87,0.89
2634.0,0.76,0.88,0.88
2635.0,0.76,0.86,0.9
2636.0,0.76,0.88,0.88
2637.0,0.76,0.86,0.89
2638.0,0.76,0.88,0.87
2639.0,0.76,0.86,0.9
2640.0,0.76,0.88,0.87
2641.0,0.76,0.87,0.9
2642.0,0.76,0.87,0.87
2643.0,0.76,0.87,0.89
2644.0,0.76,0.87,0.87
2645.0,0.76,0.86,0.89
2646.0,0.76,0.86,0.87
2647.0,0.76,0.87,0.89
2648.0,0.76,0.86,0.87
2649.0,0.76,0.87,0.9
2650.0,0.76,0.87,0.87
2651.0,0.76,0.86,0.89
2652.0,0.77,0.86,0.87
2653.0,0.77,0.87,0.9
2654.0,0.77,0.87,0.87
2655.0,0.77,0.86,0.89
2656.0,0.77,0.86,0.87
2657.0,0.77,0.87,0.89
2658.0,0.77,0.87,0.87
2659.0,0.77,0.87,0.89
2660.0,0.77,0.87,0.86
2661.0,0.77,0.88,0.89
2662.0,0.77,0.86,0.86
2663.0,0.77,0.88,0.89
2664.0,0.77,0.86,0.86
2665.0,0.77,0.89,0.88
2666.0,0.77,0.86,0.86
2667.0,0.77,0.88,0.89
2668.0,0.77,0.87,0.86
2669.0,0.77,0.88,0.89
2670.0,0.77,0.87,0.86
2671.0,0.77,0.88,0.89
2672.0,0.77,0.87,0.85
2673.0,0.77,0.88,0.88
2674.0,0.77,0.88,0.87
2675.0,0.77,0.88,0.88
2676.0,0.77,0.88,0.86
2677.0,0.77,0.88,0.89
2678.0,0.77,0.88,0.86
2679.0,0.77,0.88,0.88
2680.0,0.77,0.88,0.87
2681.0,0.77,0.88,0.87
2682.0,0.77,0.88,0.87
2683.0,0.77,0.89,0.88
2684.0,0.77,0.88,0.86
2685.0,0.77,0.89,0.88
2686.0,0.77,0.88,0.86
2687.0,0.77,0.89,0.89
2688.0,0.77,0.88,0.87
2689.0,0.77,0.89,0.88
2690.0,0.77,0.88,0.87
2691.0,0.77,0.89,0.88
2692.0,0.77,0.88,0.88
2693.0,0.77,0.89,0.88
2694.0,0.77,0.88,0.88
2695.0,0.77,0.89,0.88
2696.0,0.77,0.88,0.88
2697.0,0.77,0.89,0.88
2698.0,0.77,0.88,0.86
2699.0,0.77,0.89,0.89
2700.0,0.77,0.88,0.86
2701.0,0.77,0.89,0.88
2702.0,0.77,0.88,0.86
2703.0,0.77,0.89,0.88
2704.0,0.77,0.88,0.87
2705.0,0.77,0.89,0.88
2706.0,0.77,0.88,0.87
2707.0,0.77,0.89,0.88
2708.0,0.77,0.88,0.86
2709.0,0.77,0.89,0.89
2710.0,0.77,0.88,0.87
2711.0,0.77,0.89,0.88
2712.0,0.76,0.88,0.86
2713.0,0.77,0.89,0.89
2714.0,0.77,0.88,0.87
2715.0,0.77,0.89,0.89
2716.0,0.77,0.88,0.87
2717.0,0.77,0.89,0.88
2718.0,0.77,0.88,0.87
2719.0,0.77,0.89,0.88
2720.0,0.77,0.88,0.87
2721.0,0.77,0.89,0.88
2722.0,0.77,0.88,0.86
2723.0,0.77,0.89,0.88
2724.0,0.77,0.88,0.86
2725.0,0.77,0.89,0.89
2726.0,0.77,0.88,0.87
2727.0,0.77,0.89,0.89
2728.0,0.77,0.88,0.86
2729.0,0.77,0.89,0.88
2730.0,0.77,0.88,0.87
2731.0,0.77,0.89,0.87
2732.0,0.77,0.88,0.88
2733.0,0.77,0.89,0.88
2734.0,0.77,0.88,0.87
2735.0,0.77,0.89,0.88
2736.0,0.77,0.88,0.88
2737.0,0.77,0.89,0.87
2738.0,0.77,0.88,0.87
2739.0,0.77,0.89,0.89
2740.0,0.76,0.88,0.86
2741.0,0.76,0.88,0.89
2742.0,0.76,0.89,0.86
2743.0,0.76,0.88,0.88
2744.0,0.76,0.89,0.86
2745.0,0.76,0.88,0.89
2746.0,0.76,0.89,0.87
2747.0,0.76,0.88,0.88
2748.0,0.76,0.89,0.87
2749.0,0.76,0.88,0.89
2750.0,0.76,0.89,0.87
2751.0,0.76,0.88,0.87
2752.0,0.76,0.89,0.87
2753.0,0.76,0.88,0.87
2754.0,0.76,0.89,0.87
2755.0,0.76,0.88,0.88
2756.0,0.76,0.89,0.87
2757.0,0.76,0.88,0.88
2758.0,0.76,0.89,0.87
2759.0,0.76,0.88,0.87
2760.0,0.76,0.89,0.87
2761.0,0.76,0.89,0.87
2762.0,0.76,0.89,0.86
2763.0,0.76,0.9,0.87
2764.0,0.76,0.89,0.87
2765.0,0.76,0.9,0.86
2766.0,0.76,0.89,0.86
2767.0,0.76,0.89,0.88
2768.0,0.77,0.88,0.86
2769.0,0.77,0.9,0.87
2770.0,0.77,0.89,0.86
2771.0,0.76,0.89,0.87
2772.0,0.76,0.89,0.86
2773.0,0.76,0.9,0.88
2774.0,0.76,0.89,0.86
2775.0,0.76,0.9,0.87
2776.0,0.77,0.9,0.85
2777.0,0.77,0.89,0.88
2778.0,0.77,0.88,0.85
2779.0,0.77,0.9,0.88
2780.0,0.77,0.89,0.86
2781.0,0.77,0.89,0.87
2782.0,0.76,0.88,0.84
2783.0,0.76,0.9,0.89
2784.0,0.76,0.89,0.84
2785.0,0.76,0.9,0.88
2786.0,0.76,0.88,0.86
2787.0,0.76,0.9,0.87
2788.0,0.76,0.89,0.85
2789.0,0.76,0.9,0.86
2790.0,0.76,0.89,0.85
2791.0,0.76,0.91,0.88
2792.0,0.76,0.88,0.87
2793.0,0.76,0.9,0.88
2794.0,0.76,0.88,0.87
2795.0,0.76,0.9,0.86
2796.0,0.76,0.88,0.85
2797.0,0.76,0.9,0.88
2798.0,0.76,0.88,0.86
2799.0,0.76,0.89,0.87
2800.0,0.76,0.88,0.86
2801.0,0.76,0.89,0.87
2802.0,0.76,0.88,0.86
2803.0,0.76,0.9,0.86
2804.0,0.76,0.88,0.85
2805.0,0.76,0.9,0.88
2806.0,0.76,0.88,0.85
2807.0,0.76,0.89,0.88
2808.0,0.76,0.89,0.86
2809.0,0.76,0.89,0.87
2810.0,0.76,0.88,0.85
2811.0,0.76,0.89,0.87
2812.0,0.76,0.88,0.87
2813.0,0.76,0.89,0.86
2814.0,0.76,0.89,0.86
2815.0,0.76,0.9,0.86
2816.0,0.76,0.89,0.86
2817.0,0.76,0.89,0.88
2818.0,0.76,0.89,0.87
2819.0,0.76,0.9,0.87
2820.0,0.76,0.88,0.86
2821.0,0.76,0.89,0.87
2822.0,0.76,0.89,0.86
2823.0,0.76,0.89,0.87
2824.0,0.77,0.89,0.87
2825.0,0.76,0.89,0.87
2826.0,0.76,0.89,0.86
2827.0,0.77,0.89,0.88
2828.0,0.77,0.89,0.87
2829.0,0.77,0.89,0.86
2830.0,0.77,0.89,0.85
2831.0,0.77,0.9,0.87
2832.0,0.77,0.88,0.87
2833.0,0.77,0.9,0.86
2834.0,0.77,0.89,0.87
2835.0,0.77,0.89,0.88
2836.0,0.77,0.89,0.85
2837.0,0.77,0.89,0.87
2838.0,0.77,0.89,0.85
2839.0,0.77,0.89,0.87
2840.0,0.77,0.89,0.87
2841.0,0.77,0.9,0.87
2842.0,0.77,0.88,0.86
2843.0,0.77,0.9,0.87
2844.0,0.77,0.88,0.85
2845.0,0.77,0.9,0.87
2846.0,0.77,0.89,0.85
2847.0,0.77,0.9,0.88
2848.0,0.77,0.89,0.85
2849.0,0.77,0.9,0.88
2850.0,0.77,0.89,0.84
2851.0,0.77,0.9,0.88
2852.0,0.77,0.89,0.85
2853.0,0.77,0.9,0.89
2854.0,0.77,0.89,0.86
2855.0,0.77,0.89,0.88
2856.0,0.77,0.89,0.86
2857.0,0.77,0.89,0.87
2858.0,0.77,0.88,0.86
2859.0,0.77,0.89,0.87
2860.0,0.77,0.88,0.86
2861.0,0.77,0.89,0.87
2862.0,0.77,0.88,0.84
2863.0,0.77,0.89,0.89
2864.0,0.77,0.88,0.86
2865.0,0.77,0.89,0.87
2866.0,0.77,0.88,0.85
2867.0,0.77,0.89,0.88
2868.0,0.77,0.88,0.86
2869.0,0.77,0.89,0.87
2870.0,0.77,0.88,0.86
2871.0,0.77,0.89,0.88
2872.0,0.77,0.88,0.86
2873.0,0.76,0.89,0.88
2874.0,0.76,0.88,0.85
2875.0,0.76,0.89,0.87
2876.0,0.76,0.88,0.85
2877.0,0.76,0.89,0.88
2878.0,0.76,0.88,0.84
2879.0,0.76,0.89,0.89
2880.0,0.76,0.88,0.85
2881.0,0.76,0.89,0.88
2882.0,0.76,0.88,0.85
2883.0,0.76,0.89,0.87
2884.0,0.76,0.88,0.85
2885.0,0.76,0.89,0.89
2886.0,0.76,0.88,0.85
2887.0,0.76,0.89,0.88
2888.0,0.76,0.88,0.85
2889.0,0.76,0.89,0.88
2890.0,0.76,0.88,0.85
2891.0,0.76,0.89,0.89
2892.0,0.76,0.88,0.85
2893.0,0.76,0.89,0.88
2894.0,0.76,0.88,0.85
2895.0,0.76,0.89,0.89
2896.0,0.76,0.88,0.85
2897.0,0.76,0.89,0.89
2898.0,0.76,0.88,0.85
2899.0,0.76,0.89,0.89
2900.0,0.76,0.88,0.86
2901.0,0.76,0.89,0.89
2902.0,0.76,0.88,0.85
2903.0,0.76,0.89,0.88
2904.0,0.76,0.88,0.84
2905.0,0.76,0.89,0.89
2906.0,0.76,0.88,0.84
2907.0,0.76,0.89,0.88
2908.0,0.76,0.88,0.85
2909.0,0.76,0.89,0.89
2910.0,0.76,0.88,0.85
2911.0,0.76,0.89,0.88
2912.0,0.76,0.88,0.84
2913.0,0.76,0.89,0.89
2914.0,0.76,0.88,0.85
2915.0,0.76,0.89,0.89
2916.0,0.76,0.88,0.84
2917.0,0.76,0.89,0.88
2918.0,0.76,0.88,0.84
2919.0,0.76,0.89,0.89
2920.0,0.76,0.88,0.85
2921.0,0.76,0.89,0.88
2922.0,0.76,0.88,0.84
2923.0,0.76,0.89,0.89
2924.0,0.76,0.88,0.84
2925.0,0.76,0.89,0.89
2926.0,0.76,0.88,0.85
2927.0,0.76,0.89,0.88
2928.0,0.76,0.88,0.84
2929.0,0.76,0.89,0.89
2930.0,0.76,0.88,0.85
2931.0,0.76,0.89,0.88
2932.0,0.76,0.88,0.85
2933.0,0.76,0.89,0.88
2934.0,0.76,0.88,0.84
2935.0,0.76,0.89,0.89
2936.0,0.76,0.88,0.85
2937.0,0.76,0.89,0.89
2938.0,0.76,0.88,0.85
2939.0,0.76,0.89,0.89
2940.0,0.76,0.88,0.86
2941.0,0.76,0.89,0.89
2942.0,0.76,0.88,0.85
2943.0,0.76,0.89,0.89
2944.0,0.76,0.88,0.85
2945.0,0.76,0.89,0.88
2946.0,0.76,0.88,0.86
2947.0,0.76,0.89,0.88
2948.0,0.76,0.88,0.85
2949.0,0.76,0.89,0.88
2950.0,0.76,0.88,0.86
2951.0,0.76,0.89,0.88
2952.0,0.76,0.88,0.85
2953.0,0.76,0.89,0.88
2954.0,0.76,0.88,0.85
2955.0,0.76,0.89,0.89
2956.0,0.76,0.88,0.86
2957.0,0.76,0.89,0.88
2958.0,0.76,0.88,0.86
2959.0,0.76,0.88,0.88
