step,R1.0,R0.9,R0.8,R0.7,R0.6,R0.5
2664.0,0.75,0.91,0.85,0.82,0.82,0.71
2665.0,0.76,0.9,0.85,0.79,0.83,0.73
2666.0,0.76,0.91,0.85,0.82,0.83,0.7
2667.0,0.76,0.9,0.85,0.79,0.83,0.72
2668.0,0.76,0.91,0.85,0.82,0.82,0.71
2669.0,0.76,0.9,0.85,0.79,0.84,0.71
2670.0,0.76,0.91,0.86,0.82,0.82,0.73
2671.0,0.76,0.9,0.85,0.79,0.83,0.69
2672.0,0.76,0.91,0.86,0.82,0.83,0.7
2673.0,0.76,0.9,0.84,0.79,0.84,0.7
2674.0,0.76,0.91,0.86,0.82,0.83,0.71
2675.0,0.76,0.9,0.85,0.79,0.83,0.73
2676.0,0.76,0.91,0.85,0.82,0.83,0.69
2677.0,0.76,0.9,0.84,0.79,0.83,0.71
2678.0,0.76,0.91,0.86,0.82,0.83,0.72
2679.0,0.76,0.9,0.84,0.79,0.84,0.69
2680.0,0.76,0.91,0.86,0.82,0.83,0.71
2681.0,0.76,0.9,0.85,0.79,0.84,0.73
2682.0,0.76,0.91,0.85,0.82,0.83,0.69
2683.0,0.76,0.9,0.85,0.79,0.84,0.69
2684.0,0.76,0.91,0.85,0.82,0.82,0.7
2685.0,0.76,0.9,0.84,0.79,0.83,0.71
2686.0,0.76,0.91,0.86,0.82,0.83,0.7
2687.0,0.76,0.9,0.84,0.79,0.84,0.71
2688.0,0.76,0.91,0.86,0.82,0.82,0.7
2689.0,0.76,0.9,0.84,0.79,0.84,0.72
2690.0,0.76,0.91,0.85,0.82,0.82,0.72
2691.0,0.76,0.9,0.85,0.79,0.84,0.72
2692.0,0.76,0.91,0.84,0.82,0.82,0.73
2693.0,0.76,0.9,0.85,0.79,0.83,0.72
2694.0,0.76,0.91,0.85,0.82,0.83,0.7
2695.0,0.76,0.9,0.85,0.79,0.83,0.7
2696.0,0.76,0.91,0.86,0.82,0.83,0.71
2697.0,0.76,0.9,0.83,0.79,0.84,0.71
2698.0,0.76,0.91,0.86,0.82,0.82,0.69
2699.0,0.76,0.9,0.83,0.79,0.84,0.71
2700.0,0.76,0.91,0.85,0.82,0.82,0.72
2701.0,0.76,0.9,0.84,0.79,0.84,0.72
2702.0,0.76,0.91,0.85,0.82,0.82,0.72
2703.0,0.76,0.9,0.84,0.79,0.83,0.72
2704.0,0.76,0.91,0.86,0.82,0.82,0.69
2705.0,0.76,0.9,0.84,0.79,0.83,0.7
2706.0,0.76,0.91,0.84,0.82,0.82,0.71
2707.0,0.76,0.9,0.85,0.79,0.83,0.73
2708.0,0.76,0.91,0.84,0.82,0.82,0.73
2709.0,0.76,0.9,0.85,0.79,0.83,0.71
2710.0,0.76,0.91,0.84,0.82,0.83,0.71
2711.0,0.76,0.9,0.85,0.79,0.84,0.72
2712.0,0.76,0.91,0.85,0.82,0.83,0.73
2713.0,0.76,0.9,0.85,0.79,0.84,0.7
2714.0,0.76,0.91,0.84,0.82,0.83,0.71
2715.0,0.76,0.9,0.84,0.79,0.84,0.71
2716.0,0.76,0.91,0.84,0.82,0.82,0.72
2717.0,0.76,0.9,0.85,0.79,0.84,0.7
2718.0,0.76,0.91,0.84,0.82,0.82,0.71
2719.0,0.76,0.9,0.84,0.79,0.83,0.71
2720.0,0.76,0.91,0.85,0.82,0.83,0.7
2721.0,0.76,0.9,0.84,0.79,0.84,0.7
2722.0,0.76,0.91,0.85,0.82,0.82,0.71
2723.0,0.76,0.9,0.85,0.79,0.84,0.7
2724.0,0.76,0.91,0.85,0.82,0.82,0.69
2725.0,0.76,0.9,0.85,0.79,0.84,0.73
2726.0,0.76,0.91,0.84,0.82,0.82,0.71
2727.0,0.76,0.9,0.85,0.79,0.84,0.7
2728.0,0.76,0.92,0.85,0.82,0.83,0.73
2729.0,0.76,0.9,0.85,0.79,0.84,0.69
2730.0,0.76,0.92,0.84,0.82,0.82,0.71
2731.0,0.76,0.9,0.85,0.79,0.83,0.71
2732.0,0.76,0.92,0.84,0.82,0.83,0.71
2733.0,0.76,0.9,0.85,0.79,0.84,0.71
2734.0,0.76,0.92,0.85,0.82,0.82,0.69
2735.0,0.76,0.9,0.84,0.79,0.84,0.72
2736.0,0.76,0.92,0.85,0.82,0.83,0.7
2737.0,0.76,0.9,0.84,0.79,0.84,0.72
2738.0,0.76,0.92,0.85,0.82,0.82,0.71
2739.0,0.76,0.9,0.85,0.79,0.83,0.71
2740.0,0.76,0.92,0.84,0.82,0.82,0.72
2741.0,0.76,0.9,0.85,0.79,0.84,0.7
2742.0,0.76,0.91,0.84,0.81,0.83,0.71
2743.0,0.76,0.89,0.85,0.79,0.83,0.7
2744.0,0.76,0.9,0.84,0.81,0.82,0.73
2745.0,0.76,0.9,0.84,0.79,0.83,0.69
2746.0,0.76,0.9,0.85,0.81,0.83,0.71
2747.0,0.76,0.9,0.85,0.79,0.84,0.7
2748.0,0.76,0.9,0.84,0.81,0.82,0.72
2749.0,0.76,0.9,0.84,0.79,0.84,0.74
2750.0,0.76,0.9,0.85,0.81,0.83,0.69
2751.0,0.76,0.9,0.85,0.79,0.83,0.71
2752.0,0.76,0.9,0.84,0.81,0.83,0.71
2753.0,0.76,0.9,0.85,0.79,0.84,0.73
2754.0,0.76,0.9,0.84,0.81,0.82,0.72
2755.0,0.76,0.9,0.85,0.79,0.84,0.71
2756.0,0.76,0.9,0.84,0.81,0.82,0.71
2757.0,0.76,0.9,0.84,0.79,0.83,0.69
2758.0,0.76,0.9,0.84,0.81,0.82,0.71
2759.0,0.76,0.9,0.84,0.79,0.83,0.72
2760.0,0.76,0.9,0.85,0.82,0.83,0.69
2761.0,0.76,0.9,0.85,0.78,0.84,0.7
2762.0,0.76,0.9,0.84,0.82,0.83,0.72
2763.0,0.76,0.9,0.84,0.78,0.84,0.71
2764.0,0.76,0.9,0.85,0.82,0.82,0.7
2765.0,0.76,0.9,0.84,0.78,0.83,0.71
2766.0,0.76,0.9,0.85,0.82,0.82,0.7
2767.0,0.76,0.9,0.85,0.78,0.83,0.69
2768.0,0.76,0.9,0.85,0.82,0.83,0.7
2769.0,0.76,0.9,0.84,0.78,0.83,0.69
2770.0,0.76,0.9,0.85,0.82,0.83,0.69
2771.0,0.76,0.9,0.84,0.78,0.84,0.73
2772.0,0.76,0.9,0.85,0.82,0.83,0.73
2773.0,0.76,0.89,0.84,0.78,0.84,0.7
2774.0,0.76,0.91,0.84,0.82,0.82,0.7
2775.0,0.76,0.89,0.85,0.78,0.83,0.71
2776.0,0.76,0.91,0.84,0.82,0.82,0.72
2777.0,0.76,0.89,0.85,0.78,0.84,0.71
2778.0,0.76,0.91,0.85,0.82,0.82,0.7
2779.0,0.76,0.89,0.85,0.78,0.83,0.72
2780.0,0.76,0.91,0.84,0.82,0.82,0.7
2781.0,0.76,0.9,0.85,0.78,0.83,0.73
2782.0,0.76,0.91,0.85,0.82,0.83,0.69
2783.0,0.76,0.9,0.85,0.78,0.83,0.73
2784.0,0.76,0.91,0.85,0.82,0.83,0.71
2785.0,0.76,0.9,0.85,0.78,0.84,0.72
2786.0,0.76,0.91,0.85,0.82,0.83,0.73
2787.0,0.76,0.9,0.84,0.78,0.84,0.73
2788.0,0.76,0.91,0.85,0.82,0.83,0.71
2789.0,0.76,0.9,0.84,0.78,0.83,0.7
2790.0,0.76,0.91,0.85,0.82,0.83,0.7
2791.0,0.76,0.9,0.85,0.78,0.83,0.71
2792.0,0.75,0.91,0.84,0.82,0.83,0.69
2793.0,0.75,0.9,0.84,0.78,0.84,0.72
2794.0,0.75,0.91,0.85,0.82,0.83,0.71
2795.0,0.75,0.9,0.85,0.78,0.83,0.71
2796.0,0.75,0.91,0.85,0.82,0.82,0.72
2797.0,0.75,0.9,0.85,0.78,0.84,0.71
2798.0,0.75,0.91,0.84,0.81,0.82,0.71
2799.0,0.75,0.9,0.84,0.79,0.84,0.69
2800.0,0.75,0.91,0.85,0.81,0.82,0.69
2801.0,0.75,0.9,0.85,0.79,0.84,0.7
2802.0,0.75,0.91,0.84,0.81,0.83,0.74
2803.0,0.75,0.9,0.85,0.79,0.84,0.73
2804.0,0.75,0.91,0.85,0.81,0.82,0.71
2805.0,0.75,0.9,0.84,0.79,0.83,0.7
2806.0,0.75,0.91,0.84,0.81,0.83,0.71
2807.0,0.75,0.9,0.85,0.79,0.84,0.72
2808.0,0.75,0.91,0.85,0.81,0.82,0.69
2809.0,0.75,0.9,0.84,0.79,0.83,0.73
2810.0,0.75,0.91,0.85,0.81,0.83,0.7
2811.0,0.75,0.9,0.84,0.79,0.84,0.69
2812.0,0.75,0.91,0.85,0.81,0.83,0.72
2813.0,0.75,0.9,0.84,0.79,0.83,0.7
2814.0,0.75,0.91,0.85,0.81,0.83,0.71
2815.0,0.75,0.9,0.84,0.79,0.84,0.72
2816.0,0.75,0.91,0.85,0.81,0.82,0.69
2817.0,0.75,0.89,0.84,0.79,0.83,0.71
2818.0,0.75,0.91,0.85,0.81,0.83,0.69
2819.0,0.75,0.9,0.84,0.79,0.84,0.72
2820.0,0.75,0.91,0.85,0.81,0.82,0.72
2821.0,0.75,0.89,0.84,0.79,0.83,0.73
2822.0,0.75,0.91,0.86,0.81,0.83,0.71
2823.0,0.75,0.89,0.85,0.79,0.83,0.68
2824.0,0.76,0.9,0.85,0.81,0.83,0.73
2825.0,0.76,0.89,0.83,0.79,0.83,0.73
2826.0,0.76,0.9,0.86,0.81,0.83,0.7
2827.0,0.76,0.89,0.84,0.79,0.83,0.71
2828.0,0.76,0.9,0.86,0.81,0.83,0.7
2829.0,0.76,0.89,0.83,0.79,0.83,0.72
2830.0,0.76,0.9,0.84,0.81,0.83,0.72
2831.0,0.76,0.89,0.83,0.79,0.84,0.71
2832.0,0.76,0.9,0.85,0.81,0.82,0.71
2833.0,0.76,0.89,0.85,0.79,0.84,0.73
2834.0,0.76,0.9,0.84,0.81,0.83,0.73
2835.0,0.76,0.88,0.84,0.79,0.83,0.72
2836.0,0.76,0.9,0.84,0.81,0.83,0.71
2837.0,0.76,0.88,0.83,0.79,0.84,0.7
2838.0,0.76,0.89,0.86,0.81,0.82,0.73
2839.0,0.76,0.88,0.84,0.79,0.84,0.71
2840.0,0.76,0.89,0.84,0.81,0.82,0.73
2841.0,0.76,0.88,0.84,0.79,0.84,0.74
2842.0,0.76,0.89,0.85,0.81,0.83,0.71
2843.0,0.76,0.88,0.84,0.79,0.83,0.71
2844.0,0.76,0.89,0.85,0.81,0.82,0.7
2845.0,0.76,0.89,0.84,0.79,0.84,0.72
2846.0,0.76,0.9,0.86,0.81,0.82,0.7
2847.0,0.76,0.88,0.84,0.79,0.83,0.72
2848.0,0.76,0.91,0.86,0.81,0.83,0.71
2849.0,0.76,0.9,0.83,0.78,0.84,0.71
2850.0,0.76,0.91,0.86,0.81,0.82,0.7
2851.0,0.76,0.88,0.83,0.79,0.84,0.71
2852.0,0.76,0.91,0.86,0.82,0.82,0.69
2853.0,0.76,0.88,0.83,0.79,0.84,0.7
2854.0,0.76,0.9,0.84,0.82,0.82,0.7
2855.0,0.75,0.9,0.84,0.79,0.83,0.71
2856.0,0.75,0.9,0.85,0.81,0.82,0.7
2857.0,0.75,0.9,0.83,0.79,0.83,0.73
2858.0,0.75,0.89,0.86,0.81,0.83,0.69
2859.0,0.75,0.9,0.84,0.79,0.83,0.71
2860.0,0.75,0.89,0.84,0.81,0.83,0.7
2861.0,0.75,0.9,0.84,0.79,0.83,0.71
2862.0,0.75,0.89,0.84,0.81,0.83,0.71
2863.0,0.75,0.9,0.83,0.79,0.84,0.71
2864.0,0.75,0.89,0.85,0.81,0.82,0.71
2865.0,0.75,0.9,0.84,0.79,0.84,0.71
2866.0,0.75,0.89,0.85,0.81,0.82,0.7
2867.0,0.75,0.9,0.84,0.79,0.83,0.7
2868.0,0.75,0.89,0.86,0.81,0.83,0.7
2869.0,0.75,0.9,0.84,0.79,0.83,0.7
2870.0,0.75,0.9,0.86,0.81,0.82,0.72
2871.0,0.75,0.9,0.84,0.79,0.83,0.71
2872.0,0.75,0.9,0.85,0.81,0.83,0.69
2873.0,0.75,0.9,0.84,0.79,0.84,0.71
2874.0,0.75,0.91,0.85,0.81,0.83,0.7
2875.0,0.75,0.9,0.84,0.79,0.84,0.7
2876.0,0.75,0.91,0.85,0.81,0.82,0.69
2877.0,0.75,0.88,0.83,0.78,0.83,0.71
2878.0,0.76,0.92,0.86,0.81,0.82,0.73
2879.0,0.76,0.9,0.84,0.79,0.84,0.7
2880.0,0.76,0.9,0.85,0.82,0.82,0.72
2881.0,0.76,0.9,0.85,0.78,0.83,0.7
2882.0,0.76,0.9,0.84,0.82,0.83,0.72
2883.0,0.76,0.89,0.84,0.78,0.84,0.7
2884.0,0.76,0.9,0.85,0.82,0.82,0.69
2885.0,0.76,0.9,0.83,0.79,0.83,0.72
2886.0,0.76,0.9,0.86,0.82,0.83,0.72
2887.0,0.76,0.9,0.85,0.78,0.83,0.73
2888.0,0.76,0.9,0.84,0.82,0.83,0.71
2889.0,0.76,0.9,0.84,0.78,0.84,0.71
2890.0,0.76,0.9,0.85,0.82,0.83,0.71
2891.0,0.76,0.9,0.84,0.78,0.83,0.71
2892.0,0.76,0.92,0.85,0.82,0.83,0.71
2893.0,0.76,0.89,0.83,0.78,0.84,0.72
2894.0,0.76,0.92,0.85,0.82,0.83,0.69
2895.0,0.76,0.9,0.85,0.78,0.83,0.7
2896.0,0.76,0.91,0.85,0.82,0.83,0.72
2897.0,0.76,0.91,0.84,0.78,0.83,0.71
2898.0,0.76,0.91,0.85,0.82,0.82,0.72
2899.0,0.76,0.91,0.85,0.78,0.84,0.73
2900.0,0.75,0.9,0.84,0.81,0.82,0.69
2901.0,0.75,0.91,0.83,0.78,0.83,0.72
2902.0,0.75,0.9,0.85,0.82,0.82,0.71
2903.0,0.75,0.9,0.84,0.78,0.83,0.7
2904.0,0.75,0.9,0.86,0.81,0.83,0.71
2905.0,0.75,0.9,0.85,0.78,0.83,0.71
2906.0,0.75,0.91,0.85,0.82,0.82,0.71
2907.0,0.75,0.9,0.84,0.79,0.84,0.72
2908.0,0.75,0.9,0.85,0.81,0.82,0.72
2909.0,0.75,0.9,0.84,0.79,0.83,0.7
2910.0,0.75,0.91,0.86,0.82,0.83,0.69
2911.0,0.75,0.9,0.85,0.78,0.83,0.73
2912.0,0.75,0.91,0.84,0.82,0.82,0.72
2913.0,0.75,0.9,0.84,0.78,0.83,0.71
2914.0,0.75,0.9,0.84,0.82,0.83,0.7
2915.0,0.75,0.9,0.83,0.78,0.84,0.71
2916.0,0.75,0.9,0.86,0.81,0.82,0.71
2917.0,0.75,0.9,0.83,0.79,0.83,0.7
2918.0,0.75,0.9,0.85,0.81,0.82,0.71
2919.0,0.75,0.9,0.83,0.79,0.84,0.73
2920.0,0.75,0.91,0.86,0.82,0.82,0.71
2921.0,0.75,0.89,0.85,0.79,0.84,0.72
2922.0,0.75,0.91,0.84,0.81,0.83,0.71
2923.0,0.75,0.9,0.85,0.78,0.83,0.72
2924.0,0.75,0.9,0.84,0.82,0.82,0.7
2925.0,0.75,0.9,0.84,0.78,0.83,0.7
2926.0,0.75,0.9,0.85,0.82,0.83,0.71
2927.0,0.75,0.9,0.83,0.78,0.84,0.72
2928.0,0.75,0.9,0.86,0.81,0.82,0.7
2929.0,0.75,0.9,0.84,0.79,0.83,0.71
2930.0,0.75,0.91,0.86,0.81,0.83,0.69
2931.0,0.75,0.89,0.83,0.79,0.84,0.73
2932.0,0.75,0.91,0.85,0.82,0.83,0.71
2933.0,0.75,0.89,0.84,0.78,0.83,0.73
2934.0,0.75,0.91,0.85,0.81,0.83,0.69
2935.0,0.75,0.89,0.84,0.78,0.83,0.72
2936.0,0.75,0.91,0.85,0.82,0.83,0.71
2937.0,0.75,0.89,0.83,0.78,0.84,0.69
2938.0,0.75,0.91,0.86,0.82,0.83,0.72
2939.0,0.75,0.89,0.84,0.78,0.84,0.71
2940.0,0.75,0.91,0.86,0.82,0.82,0.69
2941.0,0.75,0.89,0.83,0.78,0.84,0.71
2942.0,0.75,0.9,0.86,0.82,0.83,0.71
2943.0,0.75,0.9,0.83,0.78,0.83,0.72
2944.0,0.75,0.9,0.86,0.82,0.82,0.73
2945.0,0.75,0.9,0.84,0.78,0.84,0.7
2946.0,0.75,0.9,0.85,0.82,0.82,0.71
2947.0,0.75,0.89,0.84,0.78,0.83,0.7
2948.0,0.75,0.91,0.85,0.82,0.82,0.71
2949.0,0.75,0.89,0.84,0.78,0.84,0.7
2950.0,0.75,0.91,0.85,0.82,0.83,0.69
2951.0,0.75,0.89,0.84,0.78,0.83,0.7
2952.0,0.75,0.9,0.85,0.82,0.83,0.69
2953.0,0.75,0.9,0.83,0.78,0.84,0.71
2954.0,0.75,0.9,0.86,0.82,0.82,0.71
2955.0,0.75,0.9,0.85,0.78,0.83,0.69
2956.0,0.75,0.9,0.84,0.82,0.83,0.72
2957.0,0.75,0.9,0.84,0.78,0.83,0.71
2958.0,0.75,0.9,0.85,0.82,0.82,0.7
2959.0,0.75,0.9,0.83,0.78,0.83,0.71
2960.0,0.75,0.91,0.84,0.82,0.82,0.73
2961.0,0.75,0.9,0.85,0.78,0.83,0.69
2962.0,0.76,0.91,0.85,0.82,0.83,0.71
2963.0,0.76,0.9,0.84,0.78,0.84,0.71
2964.0,0.76,0.9,0.85,0.82,0.82,0.72
2965.0,0.76,0.9,0.84,0.78,0.83,0.7
2966.0,0.76,0.9,0.85,0.82,0.83,0.7
2967.0,0.76,0.9,0.84,0.78,0.83,0.7
2968.0,0.76,0.9,0.86,0.82,0.83,0.69
2969.0,0.76,0.9,0.85,0.78,0.83,0.69
2970.0,0.76,0.9,0.84,0.82,0.83,0.7
2971.0,0.76,0.9,0.84,0.78,0.83,0.71
2972.0,0.76,0.91,0.86,0.82,0.83,0.72
2973.0,0.76,0.89,0.84,0.78,0.83,0.71
2974.0,0.76,0.91,0.85,0.82,0.83,0.71
2975.0,0.76,0.9,0.83,0.78,0.83,0.71
2976.0,0.76,0.9,0.86,0.82,0.83,0.69
2977.0,0.76,0.9,0.83,0.78,0.83,0.71
2978.0,0.76,0.9,0.86,0.82,0.83,0.71
2979.0,0.76,0.89,0.84,0.78,0.83,0.71
2980.0,0.76,0.91,0.85,0.82,0.83,0.71
2981.0,0.76,0.89,0.84,0.78,0.84,0.72
2982.0,0.76,0.9,0.85,0.82,0.82,0.71
2983.0,0.76,0.89,0.84,0.78,0.84,0.69
2984.0,0.76,0.91,0.85,0.82,0.82,0.72
2985.0,0.76,0.89,0.84,0.78,0.84,0.69
2986.0,0.76,0.91,0.85,0.82,0.82,0.71
2987.0,0.76,0.9,0.83,0.78,0.84,0.72
2988.0,0.76,0.9,0.86,0.82,0.83,0.71
2989.0,0.76,0.9,0.83,0.78,0.83,0.73
2990.0,0.76,0.91,0.86,0.82,0.82,0.71
2991.0,0.76,0.9,0.85,0.78,0.84,0.69
2992.0,0.76,0.91,0.85,0.82,0.82,0.72
2993.0,0.76,0.88,0.84,0.78,0.84,0.71
2994.0,0.76,0.89,0.86,0.82,0.83,0.7
2995.0,0.76,0.9,0.83,0.78,0.84,0.71
2996.0,0.76,0.9,0.86,0.82,0.82,0.7
2997.0,0.76,0.9,0.83,0.78,0.83,0.71
2998.0,0.76,0.9,0.86,0.82,0.83,0.73
2999.0,0.76,0.89,0.84,0.78,0.84,0.69
3000.0,0.76,0.9,0.86,0.82,0.82,0.71
3001.0,0.76,0.89,0.85,0.78,0.84,0.71
3002.0,0.76,0.91,0.84,0.82,0.82,0.72
3003.0,0.76,0.88,0.84,0.78,0.83,0.7
3004.0,0.76,0.9,0.85,0.82,0.83,0.71
3005.0,0.76,0.88,0.84,0.79,0.83,0.7
3006.0,0.76,0.91,0.85,0.82,0.83,0.7
3007.0,0.76,0.88,0.83,0.78,0.84,0.68
3008.0,0.76,0.91,0.85,0.81,0.82,0.7
3009.0,0.76,0.88,0.84,0.79,0.83,0.71
3010.0,0.76,0.91,0.85,0.82,0.83,0.72
3011.0,0.76,0.88,0.84,0.78,0.84,0.69
3012.0,0.76,0.9,0.85,0.81,0.82,0.71
3013.0,0.76,0.89,0.83,0.79,0.84,0.71
3014.0,0.76,0.9,0.86,0.82,0.82,0.71
3015.0,0.76,0.89,0.84,0.78,0.83,0.7
3016.0,0.76,0.89,0.85,0.82,0.83,0.7
3017.0,0.76,0.9,0.84,0.78,0.83,0.68
3018.0,0.76,0.89,0.84,0.82,0.83,0.7
3019.0,0.76,0.9,0.83,0.78,0.84,0.71
3020.0,0.76,0.9,0.86,0.82,0.82,0.72
3021.0,0.76,0.89,0.83,0.78,0.83,0.69
3022.0,0.76,0.89,0.86,0.82,0.83,0.72
3023.0,0.76,0.89,0.84,0.78,0.84,0.73
3024.0,0.75,0.89,0.85,0.82,0.82,0.69
3025.0,0.76,0.89,0.83,0.78,0.84,0.7
3026.0,0.76,0.91,0.86,0.82,0.82,0.72
3027.0,0.76,0.88,0.85,0.78,0.84,0.7
3028.0,0.76,0.9,0.85,0.82,0.82,0.7
3029.0,0.76,0.88,0.85,0.78,0.84,0.72
3030.0,0.76,0.9,0.85,0.82,0.83,0.72
3031.0,0.76,0.9,0.84,0.78,0.84,0.7
3032.0,0.76,0.9,0.85,0.82,0.82,0.69
3033.0,0.76,0.89,0.84,0.78,0.83,0.69
3034.0,0.76,0.9,0.86,0.81,0.83,0.73
3035.0,0.76,0.89,0.84,0.78,0.84,0.72
3036.0,0.76,0.9,0.85,0.82,0.83,0.7
3037.0,0.76,0.9,0.84,0.78,0.83,0.73
3038.0,0.76,0.9,0.86,0.82,0.83,0.71
3039.0,0.76,0.91,0.85,0.78,0.84,0.7
3040.0,0.76,0.91,0.84,0.82,0.82,0.71
3041.0,0.76,0.91,0.84,0.78,0.84,0.69
3042.0,0.76,0.9,0.85,0.82,0.82,0.7
3043.0,0.76,0.9,0.84,0.78,0.83,0.7
3044.0,0.76,0.91,0.84,0.82,0.83,0.72
3045.0,0.76,0.9,0.84,0.78,0.84,0.72
3046.0,0.76,0.91,0.85,0.82,0.82,0.72
3047.0,0.76,0.91,0.84,0.78,0.83,0.69
3048.0,0.76,0.9,0.85,0.82,0.83,0.7
3049.0,0.76,0.9,0.84,0.78,0.84,0.71
3050.0,0.76,0.91,0.85,0.82,0.82,0.71
3051.0,0.76,0.9,0.83,0.78,0.84,0.72
3052.0,0.76,0.91,0.86,0.82,0.82,0.71
3053.0,0.76,0.91,0.84,0.79,0.84,0.71
3054.0,0.76,0.9,0.84,0.81,0.83,0.69
3055.0,0.76,0.91,0.84,0.79,0.84,0.71
3056.0,0.76,0.89,0.84,0.81,0.83,0.72
3057.0,0.76,0.91,0.83,0.79,0.84,0.7
3058.0,0.76,0.89,0.84,0.82,0.82,0.7
3059.0,0.76,0.89,0.84,0.78,0.83,0.72
3060.0,0.76,0.91,0.85,0.82,0.83,0.71
3061.0,0.76,0.91,0.84,0.78,0.84,0.7
3062.0,0.76,0.91,0.86,0.82,0.82,0.69
3063.0,0.76,0.91,0.84,0.78,0.83,0.72
3064.0,0.76,0.91,0.85,0.82,0.83,0.71
3065.0,0.76,0.9,0.83,0.78,0.84,0.71
3066.0,0.76,0.9,0.86,0.82,0.83,0.72
3067.0,0.76,0.9,0.84,0.78,0.84,0.72
3068.0,0.76,0.91,0.86,0.82,0.82,0.73
3069.0,0.76,0.9,0.84,0.79,0.83,0.71
3070.0,0.76,0.9,0.85,0.82,0.83,0.73
3071.0,0.76,0.91,0.85,0.79,0.83,0.73
3072.0,0.76,0.91,0.84,0.82,0.82,0.71
3073.0,0.76,0.91,0.84,0.79,0.84,0.69
3074.0,0.76,0.91,0.85,0.82,0.83,0.71
3075.0,0.76,0.91,0.83,0.79,0.83,0.71
3076.0,0.76,0.91,0.85,0.82,0.82,0.71
3077.0,0.76,0.91,0.84,0.79,0.83,0.71
3078.0,0.76,0.92,0.86,0.82,0.83,0.69
3079.0,0.76,0.9,0.84,0.79,0.84,0.73
3080.0,0.76,0.92,0.85,0.82,0.83,0.73
3081.0,0.76,0.9,0.83,0.79,0.83,0.7
3082.0,0.76,0.92,0.86,0.82,0.83,0.72
3083.0,0.76,0.9,0.85,0.79,0.84,0.71
3084.0,0.76,0.92,0.84,0.82,0.82,0.72
3085.0,0.76,0.91,0.84,0.79,0.84,0.72
3086.0,0.76,0.91,0.85,0.82,0.82,0.7
3087.0,0.76,0.91,0.85,0.79,0.84,0.71
3088.0,0.76,0.92,0.84,0.82,0.82,0.72
3089.0,0.76,0.9,0.85,0.79,0.84,0.7
3090.0,0.76,0.91,0.84,0.82,0.82,0.7
3091.0,0.76,0.91,0.84,0.79,0.84,0.7
3092.0,0.76,0.91,0.84,0.82,0.82,0.71
3093.0,0.76,0.9,0.83,0.79,0.84,0.7
3094.0,0.76,0.91,0.86,0.82,0.82,0.73
3095.0,0.76,0.91,0.84,0.79,0.84,0.71
3096.0,0.75,0.91,0.85,0.82,0.83,0.7
3097.0,0.75,0.91,0.85,0.79,0.83,0.71
3098.0,0.75,0.91,0.85,0.82,0.82,0.72
3099.0,0.75,0.91,0.84,0.79,0.83,0.73
3100.0,0.75,0.91,0.84,0.82,0.83,0.7
3101.0,0.75,0.9,0.84,0.79,0.84,0.71
3102.0,0.75,0.91,0.85,0.82,0.82,0.71
3103.0,0.75,0.91,0.83,0.79,0.84,0.7
3104.0,0.75,0.91,0.85,0.82,0.82,0.72
3105.0,0.75,0.9,0.84,0.79,0.84,0.71
3106.0,0.75,0.92,0.85,0.81,0.82,0.71
3107.0,0.75,0.9,0.83,0.79,0.84,0.7
3108.0,0.75,0.92,0.86,0.81,0.83,0.72
3109.0,0.75,0.9,0.85,0.79,0.83,0.71
3110.0,0.75,0.91,0.85,0.81,0.83,0.68
3111.0,0.75,0.91,0.84,0.79,0.83,0.71
3112.0,0.75,0.91,0.85,0.81,0.83,0.68
3113.0,0.75,0.91,0.84,0.79,0.84,0.72
3114.0,0.75,0.91,0.85,0.81,0.83,0.7
3115.0,0.75,0.91,0.83,0.79,0.83,0.72
3116.0,0.75,0.91,0.86,0.81,0.83,0.69
3117.0,0.75,0.91,0.84,0.79,0.84,0.71
3118.0,0.75,0.91,0.85,0.81,0.82,0.69
3119.0,0.75,0.91,0.84,0.79,0.83,0.73
3120.0,0.75,0.92,0.85,0.81,0.83,0.71
3121.0,0.75,0.91,0.84,0.79,0.83,0.72
3122.0,0.75,0.92,0.85,0.81,0.83,0.73
3123.0,0.75,0.91,0.84,0.79,0.84,0.69
3124.0,0.75,0.93,0.85,0.81,0.82,0.72
3125.0,0.75,0.9,0.85,0.79,0.84,0.72
3126.0,0.75,0.92,0.84,0.81,0.82,0.72
3127.0,0.75,0.91,0.84,0.79,0.84,0.7
3128.0,0.75,0.92,0.85,0.81,0.82,0.71
3129.0,0.75,0.91,0.83,0.79,0.84,0.73
3130.0,0.75,0.92,0.86,0.81,0.82,0.69
3131.0,0.75,0.91,0.84,0.79,0.84,0.71
3132.0,0.75,0.92,0.85,0.81,0.82,0.71
3133.0,0.75,0.91,0.83,0.79,0.84,0.71
3134.0,0.75,0.92,0.86,0.81,0.82,0.72
3135.0,0.75,0.91,0.85,0.79,0.84,0.72
3136.0,0.75,0.92,0.85,0.81,0.82,0.69
3137.0,0.75,0.91,0.84,0.79,0.83,0.73
3138.0,0.75,0.92,0.86,0.81,0.83,0.71
3139.0,0.75,0.91,0.83,0.79,0.83,0.71
3140.0,0.75,0.92,0.86,0.81,0.82,0.7
3141.0,0.75,0.91,0.85,0.78,0.83,0.7
3142.0,0.75,0.92,0.84,0.81,0.83,0.71
3143.0,0.75,0.91,0.84,0.78,0.84,0.71
3144.0,0.75,0.92,0.85,0.81,0.82,0.72
