RS
0.56
0.55
0.64
0.59
0.65
0.6
0.56
0.57
0.57
0.51
0.59
0.59
0.53
0.54
0.56
0.6
0.65
0.6
0.61
0.57
0.64
0.53
0.6
0.61
0.62
0.56
0.56
0.59
0.63
0.64
0.63
0.65
0.65
0.68
0.72
0.67
0.59
0.68
0.67
0.64
0.61
0.71
0.64
0.65
0.64
0.71
0.68
0.73
0.67
0.69
0.69
0.71
0.69
0.73
0.63
0.67
0.61
0.66
0.61
0.67
0.67
0.63
0.66
0.7
0.67
0.62
0.7
0.75
0.73
0.7
0.64
0.71
0.67
0.7
0.62
0.72
0.66
0.71
0.71
0.68
0.72
0.7
0.7
0.72
0.75
0.68
0.65
0.68
0.68
0.68
0.74
0.74
0.72
0.71
0.78
0.7
0.77
0.75
0.73
0.76
0.7
0.74
0.67
0.73
0.74
0.7
0.72
0.71
0.75
0.72
0.73
0.73
0.72
0.59
0.68
0.73
0.65
0.66
0.69
0.73
0.71
0.7
0.72
0.75
0.7
0.71
0.64
0.72
0.71
0.66
0.7
0.71
0.7
0.68
0.69
0.72
0.68
0.74
0.73
0.78
0.73
0.73
0.73
0.7
0.76
0.71
0.72
0.73
0.7
0.71
0.69
0.66
0.73
0.66
0.67
0.73
0.75
0.71
0.74
0.74
0.74
0.71
0.73
0.73
0.74
0.76
0.71
0.77
0.75
0.75
0.75
0.72
0.74
0.74
0.77
0.78
0.78
0.78
0.78
0.74
0.73
0.74
0.74
0.72
0.74
0.76
0.75
0.77
0.75
0.76
0.77
0.72
0.75
0.76
0.78
0.73
0.75
0.77
0.74
0.75
0.75
0.75
0.74
0.69
0.72
0.68
0.74
0.71
0.76
0.74
0.72
0.77
0.73
0.73
0.72
0.73
0.75
0.76
0.75
0.72
0.76
0.75
0.71
0.76
0.69
0.75
0.69
0.76
0.71
0.7
0.71
0.72
0.73
0.74
0.8
0.72
0.74
0.74
0.67
0.72
0.7
0.73
0.7
0.73
0.67
0.76
0.72
0.69
0.76
0.75
0.7
0.72
0.75
0.75
0.72
0.76
0.76
0.71
0.75
0.72
0.73
0.75
0.69
0.76
0.7
0.77
0.74
0.71
0.76
0.76
0.76
0.75
0.73
0.76
0.68
0.82
0.75
0.79
0.77
0.75
0.73
0.74
0.73
0.82
0.73
0.75
0.79
0.75
0.76
0.73
0.76
0.74
0.75
0.75
0.77
0.76
0.72
0.74
0.71
0.76
0.77
0.69
0.75
0.77
0.77
0.74
0.75
0.72
0.75
0.71
0.74
0.75
0.69
0.73
0.72
0.73
0.75
0.71
0.71
0.78
0.74
0.68
0.74
0.74
0.75
0.75
0.7
0.72
0.77
0.74
0.75
0.74
0.75
0.78
0.73
0.76
0.72
0.73
0.72
0.73
0.72
0.74
0.68
0.71
0.74
0.71
0.7
0.69
0.76
0.7
0.74
0.7
0.74
0.71
0.76
0.72
0.73
0.69
0.7
0.69
0.69
0.73
0.71
0.72
0.73
0.71
0.77
0.72
0.7
0.74
0.71
0.76
0.74
0.73
0.71
0.77
0.75
0.78
0.72
0.8
0.76
0.77
0.72
0.73
0.71
0.68
0.74
0.73
0.77
0.76
0.75
0.75
0.74
0.75
0.77
0.71
0.75
0.75
0.72
0.74
0.72
0.77
0.74
0.71
0.76
0.73
0.73
0.75
0.73
0.79
0.74
0.72
0.75
0.76
0.73
0.73
0.75
0.73
0.73
0.76
0.76
0.69
0.74
0.72
0.75
0.72
0.72
0.74
0.75
0.77
0.75
0.77
0.73
0.74
0.73
0.76
0.75
0.73
0.73
0.73
0.74
0.72
0.76
0.7
0.75
0.7
0.72
0.75
0.72
0.73
0.71
0.77
0.73
0.76
0.76
0.72
0.76
0.72
0.75
0.77
0.74
0.75
0.78
0.77
0.76
0.75
0.74
0.72
0.71
0.75
0.73
0.73
0.74
0.74
0.77
0.77
0.72
0.74
0.73
0.76
0.71
0.71
0.78
0.77
0.74
0.78
0.75
0.78
0.73
0.74
0.75
0.76
0.75
0.74
0.73
0.79
0.75
0.79
0.75
0.76
0.75
0.77
0.77
0.72
0.78
0.77
0.73
0.78
0.78
0.76
0.76
0.71
0.74
0.75
0.76
0.73
0.77
0.73
0.79
0.73
0.76
0.76
0.72
0.7
0.76
0.75
0.77
0.74
0.77
0.77
0.71
0.75
0.75
0.71
0.75
0.75
0.73
0.73
0.75
0.72
0.76
0.74
0.76
0.77
0.73
0.73
0.72
0.77
0.74
0.72
0.76
0.75
0.75
0.75
0.76
0.75
0.75
0.73
0.72
0.75
0.75
0.75
0.74
0.76
0.72
0.77
0.74
0.72
0.75
0.73
0.73
0.73
0.75
0.74
0.75
0.73
0.76
0.7
0.76
0.77
0.75
0.75
0.78
0.76
0.74
0.76
0.76
0.75
0.71
0.76
0.77
0.75
0.78
0.76
0.74
0.8
0.77
0.78
0.77
0.76
0.77
0.79
0.75
0.75
0.77
0.76
0.76
0.74
0.74
0.77
0.77
0.78
0.79
0.76
0.77
0.75
0.77
0.78
0.76
0.77
0.76
0.77
0.75
0.74
0.74
0.73
0.75
0.74
0.78
0.73
0.74
0.76
0.73
0.77
0.77
0.75
0.75
0.73
0.75
0.75
0.75
0.76
0.75
0.71
0.73
0.76
0.74
0.75
0.75
0.72
0.75
0.72
0.75
0.75
0.73
0.77
0.74
0.75
0.75
0.75
0.73
0.75
0.75
0.73
0.77
0.74
0.76
0.76
0.74
0.76
0.74
0.73
0.74
0.76
0.75
0.73
0.77
0.76
0.74
0.76
0.74
0.75
0.74
0.73
0.73
0.72
0.72
0.74
0.72
0.71
0.72
0.71
0.73
0.72
0.7
0.73
0.72
0.69
0.76
0.69
0.73
0.71
0.77
0.74
0.74
0.71
0.76
0.73
0.75
0.77
0.72
0.76
0.74
0.77
0.72
0.79
0.78
0.78
0.79
0.75
0.82
0.79
0.78
0.79
0.78
0.78
0.8
0.8
0.81
0.77
0.82
0.8
0.8
0.76
0.78
0.74
0.8
0.79
0.79
0.76
0.81
0.79
0.8
0.81
0.79
0.8
0.8
0.81
0.78
0.8
0.78
0.8
0.79
0.8
0.8
0.78
0.79
0.79
0.8
0.8
0.79
0.79
0.79
0.8
0.79
0.8
0.81
0.82
0.8
0.8
0.81
0.8
0.81
0.81
0.8
0.81
0.81
0.81
0.79
0.81
0.81
0.82
0.78
0.79
0.82
0.77
0.82
0.8
0.82
0.81
0.79
0.79
0.78
0.79
0.79
0.79
0.78
0.78
0.78
0.79
0.79
0.79
0.78
0.8
0.79
0.81
0.82
0.82
0.82
0.79
0.81
0.77
0.8
0.81
0.81
0.82
0.81
0.82
0.81
0.79
0.81
0.79
0.83
0.82
0.82
0.78
0.78
0.78
0.79
0.8
0.8
0.8
0.79
0.82
0.77
0.81
0.81
0.77
0.83
0.79
0.84
0.81
0.79
0.84
0.79
0.82
0.76
0.8
0.82
0.8
0.82
0.8
0.78
0.8
0.8
0.78
0.81
0.78
0.8
0.8
0.81
0.8
0.81
0.82
0.82
0.81
0.83
0.84
0.81
0.81
0.84
0.85
0.82
0.83
0.82
0.81
0.83
0.82
0.81
0.84
0.82
0.8
0.82
0.8
0.82
0.8
0.83
0.8
0.82
0.83
0.82
0.82
0.82
0.83
0.83
0.81
0.82
0.81
0.82
0.84
0.81
0.83
0.82
0.83
0.81
0.83
0.81
0.8
0.83
0.81
0.83
0.81
0.82
0.83
0.81
0.84
0.82
0.85
0.83
0.84
0.83
0.84
0.84
0.83
0.81
0.84
0.81
0.84
0.82
0.84
0.82
0.85
0.82
0.84
0.82
0.83
0.83
0.83
0.83
0.85
0.82
0.85
0.82
0.83
0.84
0.85
0.83
0.85
0.82
0.85
0.84
0.82
0.85
0.85
0.86
0.85
0.86
0.86
0.85
0.86
0.83
0.86
0.84
0.85
0.84
0.85
0.82
0.83
0.84
0.83
0.83
0.82
0.81
0.83
0.79
0.82
0.81
0.82
0.82
0.8
0.84
0.81
0.82
0.83
0.8
0.83
0.81
0.83
0.82
0.83
0.84
0.83
0.84
0.82
0.8
0.83
0.84
0.82
0.83
0.83
